,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty
0,Abbeville,SC,0.629,0.346,10724.0,0.661,0.33,12433.0,805.0,17.0,24788.0,12044.0,12744.0,1.3,68.9,27.6,0.1,0.3,0.0,22.7
1,Acadia,LA,0.773,0.206,27386.0,0.795,0.191,28425.0,3182.0,102.0,62607.0,30433.0,32174.0,2.4,77.5,17.6,0.1,0.1,0.0,21.5
2,Accomack,VA,0.545,0.428,15755.0,0.542,0.447,16938.0,1227.0,19.0,32840.0,16079.0,16761.0,8.8,60.3,28.3,0.3,0.7,0.0,19.8
3,Ada,ID,0.479,0.387,195587.0,0.504,0.465,259389.0,17451.0,181.0,435117.0,217999.0,217118.0,7.9,85.2,1.2,0.4,2.6,0.1,11.8
4,Adair,IA,0.653,0.3,3759.0,0.697,0.286,4183.0,222.0,1.0,7192.0,3552.0,3640.0,1.7,96.6,0.3,0.0,0.4,0.0,9.5
5,Adair,KY,0.806,0.161,8231.0,0.83,0.159,8766.0,517.0,22.0,19304.0,9632.0,9672.0,1.8,93.4,3.6,0.1,0.1,0.0,21.5
6,Adair,MO,0.594,0.345,10137.0,0.618,0.358,10337.0,578.0,0.0,25437.0,12013.0,13424.0,2.3,90.5,2.4,0.2,2.3,0.1,26.2
7,Adair,OK,0.735,0.212,6468.0,0.786,0.195,7108.0,855.0,11.0,22136.0,10987.0,11149.0,6.4,40.8,0.3,41.7,0.6,0.2,30.8
8,Adams,CO,0.421,0.494,175125.0,0.404,0.567,234599.0,15538.0,263.0,487850.0,245840.0,242010.0,39.3,51.1,3.0,0.5,3.8,0.1,12.2
9,Adams,IA,0.669,0.271,2082.0,0.708,0.273,2158.0,87.0,1.0,3785.0,1870.0,1915.0,1.2,96.8,0.4,0.1,0.6,0.0,11.2
10,Adams,ID,0.713,0.19,2183.0,0.751,0.229,2586.0,65.0,2.0,3946.0,2021.0,1925.0,3.3,92.7,0.3,1.2,0.0,0.2,13.8
11,Adams,IL,0.716,0.24,31770.0,0.722,0.256,33434.0,2223.0,25.0,66787.0,32698.0,34089.0,1.5,92.0,3.9,0.2,0.8,0.1,13.1
12,Adams,IN,0.739,0.215,13039.0,0.75,0.227,14238.0,704.0,8.0,35018.0,17361.0,17657.0,4.4,93.7,0.9,0.0,0.4,0.0,18.9
13,Adams,MS,0.42,0.567,12214.0,0.426,0.564,12268.0,1122.0,45.0,31583.0,15680.0,15903.0,8.4,36.9,52.8,0.2,0.6,0.0,34.2
14,Adams,ND,0.75,0.179,1206.0,0.773,0.203,1269.0,91.0,0.0,2368.0,1168.0,1200.0,0.5,93.0,1.6,1.1,2.6,0.0,9.2
15,Adams,NE,0.699,0.248,13172.0,0.691,0.289,14602.0,922.0,15.0,31564.0,15981.0,15583.0,9.4,86.9,0.6,0.1,1.3,0.0,12.4
16,Adams,OH,0.763,0.207,11063.0,0.811,0.179,11905.0,270.0,6.0,27926.0,13960.0,13966.0,1.0,96.6,0.4,0.6,0.2,0.0,23.8
17,Adams,PA,0.663,0.299,47138.0,0.663,0.322,56627.0,1184.0,31.0,101589.0,50055.0,51534.0,6.8,89.5,1.4,0.0,0.7,0.0,8.8
18,Adams,WA,0.671,0.274,4081.0,0.675,0.306,5109.0,935.0,11.0,19261.0,9750.0,9511.0,62.3,35.2,0.3,0.4,1.0,0.0,23.1
19,Adams,WI,0.592,0.374,10107.0,0.623,0.366,11818.0,587.0,5.0,20111.0,10770.0,9341.0,3.8,90.7,2.7,0.6,0.5,0.0,13.0
20,Addison,VT,0.301,0.638,17592.0,0.436,0.511,870.0,124.0,2.0,36825.0,18214.0,18611.0,2.2,93.0,0.9,0.3,1.9,0.0,7.8
21,Aiken,SC,0.615,0.34,74773.0,0.606,0.379,85185.0,5140.0,87.0,165707.0,80260.0,85447.0,5.5,66.7,24.5,0.2,1.0,0.0,16.7
22,Aitkin,MN,0.601,0.341,9185.0,0.625,0.36,10010.0,232.0,3.0,15841.0,8079.0,7762.0,1.3,94.1,0.5,2.2,0.4,0.0,12.1
23,Alachua,FL,0.364,0.59,127827.0,0.356,0.627,142784.0,10706.0,78.0,259865.0,125712.0,134153.0,9.3,62.0,19.8,0.3,5.9,0.1,23.3
24,Alamance,NC,0.552,0.423,69264.0,0.537,0.451,84710.0,5409.0,88.0,157844.0,75078.0,82766.0,12.3,65.0,18.9,0.3,1.5,0.0,17.6
25,Alameda,CA,0.151,0.795,424517.0,0.176,0.804,750128.0,23994.0,464.0,1629615.0,799649.0,829966.0,22.5,32.2,10.7,0.3,28.7,0.8,11.3
26,Alamosa,CO,0.439,0.459,6897.0,0.489,0.482,7519.0,360.0,9.0,16345.0,8085.0,8260.0,45.8,48.6,1.6,1.3,1.0,0.2,27.8
27,Albany,NY,0.352,0.595,125644.0,0.375,0.602,121529.0,3750.0,140.0,308580.0,149287.0,159293.0,5.7,73.0,11.7,0.1,6.4,0.0,12.4
28,Albany,WY,0.463,0.419,16420.0,0.461,0.488,18617.0,1562.0,4.0,37944.0,19883.0,18061.0,9.3,82.9,1.3,0.7,2.9,0.0,23.0
29,Albemarle,VA,0.343,0.593,56134.0,0.324,0.661,64284.0,1612.0,24.0,105105.0,50283.0,54822.0,5.7,77.2,9.5,0.2,5.0,0.0,9.8
30,Alcona,MI,0.68,0.28,6179.0,0.686,0.303,7063.0,55.0,3.0,10413.0,5247.0,5166.0,1.4,96.0,0.3,0.5,0.4,0.0,14.9
31,Alcorn,MS,0.799,0.182,14781.0,0.811,0.175,15639.0,1130.0,12.0,37242.0,18345.0,18897.0,3.0,83.2,11.7,0.0,0.3,0.0,19.6
32,Alexander,IL,0.53,0.448,2820.0,0.543,0.448,5631.0,154.0,2.0,6776.0,3258.0,3518.0,1.0,61.8,34.6,0.6,0.2,0.0,33.4
33,Alexander,NC,0.768,0.208,18011.0,0.786,0.204,20120.0,975.0,10.0,37159.0,18797.0,18362.0,4.6,87.0,5.9,0.2,1.2,0.1,14.7
34,Alexandria city,VA,0.178,0.768,74384.0,0.178,0.81,81806.0,,,154710.0,74501.0,80209.0,16.7,51.8,21.7,0.1,6.1,0.0,10.5
35,Alfalfa,OK,0.856,0.096,2256.0,0.874,0.103,2262.0,132.0,0.0,5877.0,3502.0,2375.0,5.0,76.2,2.4,1.9,0.0,0.0,11.2
36,Alger,MI,0.573,0.368,4513.0,0.587,0.4,5135.0,121.0,1.0,9254.0,5088.0,4166.0,1.4,84.2,7.2,3.3,0.1,0.0,13.0
37,Allamakee,IA,0.596,0.352,6837.0,0.635,0.345,7459.0,431.0,9.0,13940.0,7098.0,6842.0,6.1,91.2,0.9,0.1,0.3,0.0,11.4
38,Allegan,MI,0.613,0.325,55153.0,0.616,0.364,67182.0,1503.0,7.0,114145.0,56997.0,57148.0,7.2,88.7,1.3,0.5,0.6,0.0,10.8
39,Allegany,MD,0.72,0.24,27804.0,0.694,0.291,29130.0,775.0,24.0,72591.0,37892.0,34699.0,1.7,87.3,8.0,0.2,0.8,0.0,16.8
40,Allegany,NY,0.684,0.261,17111.0,0.734,0.242,17271.0,348.0,8.0,47400.0,24013.0,23387.0,1.5,94.5,1.4,0.3,1.2,0.0,16.5
41,Alleghany,NC,0.727,0.249,5214.0,0.745,0.245,6040.0,316.0,1.0,10935.0,5445.0,5490.0,9.4,87.3,2.4,0.1,0.2,0.0,21.0
42,Alleghany,VA,0.667,0.296,7306.0,0.715,0.274,8191.0,154.0,4.0,15489.0,7586.0,7903.0,1.4,91.9,5.5,0.0,0.1,0.1,19.3
43,Allegheny,PA,0.4,0.564,643173.0,0.39,0.595,707837.0,15940.0,419.0,1229605.0,593177.0,636428.0,2.0,79.1,12.7,0.1,3.5,0.0,12.5
44,Allen,IN,0.575,0.379,145787.0,0.544,0.431,168964.0,9638.0,237.0,367747.0,179414.0,188333.0,7.2,74.6,11.3,0.2,3.5,0.0,14.7
45,Allen,KS,0.673,0.263,5314.0,0.711,0.267,5842.0,112.0,1.0,12752.0,6318.0,6434.0,3.3,90.7,1.5,0.1,0.6,0.1,14.2
46,Allen,KY,0.799,0.167,8091.0,0.81,0.175,9363.0,566.0,11.0,20628.0,10227.0,10401.0,1.9,95.4,1.9,0.0,0.2,0.0,20.0
47,Allen,OH,0.669,0.287,44636.0,0.691,0.294,46362.0,2580.0,80.0,104157.0,52614.0,51543.0,2.9,81.2,11.7,0.2,0.7,0.0,15.0
48,Allen,LA,0.743,0.228,9245.0,0.772,0.215,9810.0,1856.0,63.0,25667.0,14542.0,11125.0,4.9,71.1,19.0,1.8,0.7,0.0,16.6
49,Allendale,SC,0.22,0.761,3578.0,0.232,0.756,3593.0,424.0,7.0,9402.0,4952.0,4450.0,3.1,22.5,73.5,0.5,0.0,0.0,30.4
50,Alpena,MI,0.619,0.332,14688.0,0.63,0.354,16966.0,180.0,14.0,28730.0,14169.0,14561.0,1.3,96.0,0.5,0.4,0.4,0.1,15.0
51,Alpine,CA,0.367,0.553,575.0,0.323,0.643,736.0,8.0,0.0,1203.0,664.0,539.0,9.7,64.6,1.5,20.6,0.7,0.0,19.8
52,Amador,CA,0.604,0.34,10049.0,0.609,0.366,22282.0,347.0,16.0,37306.0,20005.0,17301.0,13.2,79.3,2.0,0.7,1.5,0.2,10.6
53,Amelia,VA,0.669,0.306,7035.0,0.684,0.306,7881.0,150.0,6.0,12802.0,6644.0,6158.0,1.1,72.4,23.7,0.3,0.1,0.0,13.0
54,Amherst,VA,0.636,0.329,15164.0,0.622,0.32,17719.0,626.0,6.0,31819.0,15331.0,16488.0,2.3,75.5,17.6,0.2,0.6,0.0,13.4
55,Amite,MS,0.609,0.382,7033.0,0.633,0.354,5974.0,436.0,13.0,12574.0,6133.0,6441.0,0.2,57.3,42.0,0.0,0.3,0.0,22.8
56,Anderson,KS,0.728,0.203,3277.0,0.773,0.206,3720.0,203.0,0.0,7840.0,3849.0,3991.0,0.7,95.2,0.2,3.5,0.0,0.0,13.6
57,Anderson,KY,0.722,0.231,11420.0,0.728,0.252,13261.0,280.0,1.0,22017.0,10639.0,11378.0,1.7,94.2,2.4,0.0,0.7,0.0,12.0
58,Anderson,SC,0.699,0.262,80296.0,0.703,0.283,96093.0,6051.0,209.0,194174.0,93474.0,100700.0,3.5,77.6,16.0,0.2,0.9,0.0,15.6
59,Anderson,TN,0.646,0.303,29723.0,0.652,0.33,35527.0,1869.0,16.0,75538.0,36803.0,38735.0,2.7,89.6,3.4,0.1,1.4,0.1,16.3
60,Anderson,TX,0.78,0.199,16887.0,0.786,0.205,19155.0,2979.0,39.0,57747.0,35292.0,22455.0,17.3,59.7,20.9,0.3,0.5,0.0,15.7
61,Andrew,MO,0.729,0.224,9140.0,0.742,0.241,9775.0,474.0,8.0,17358.0,8622.0,8736.0,2.3,94.9,1.3,0.1,0.1,0.0,9.0
62,Andrews,TX,0.797,0.17,4926.0,0.843,0.145,5856.0,667.0,10.0,17577.0,8980.0,8597.0,55.4,41.1,1.5,0.1,0.2,0.1,11.9
63,Androscoggin,ME,0.509,0.415,55340.0,,,,876.0,10.0,107317.0,52550.0,54767.0,1.8,91.1,1.6,0.2,0.8,0.0,14.3
64,Angelina,TX,0.725,0.252,29870.0,0.724,0.264,34628.0,2317.0,93.0,87700.0,42707.0,44993.0,21.5,61.2,14.7,0.1,1.1,0.0,19.1
65,Anne Arundel,MD,0.471,0.478,242939.0,0.42,0.559,293582.0,12256.0,281.0,564600.0,279581.0,285019.0,7.3,69.6,15.9,0.1,3.6,0.1,6.1
66,Anoka,MN,0.507,0.41,184084.0,0.498,0.479,210491.0,9947.0,159.0,344861.0,172482.0,172379.0,4.2,82.7,5.5,0.5,4.2,0.0,6.6
67,Anson,NC,0.431,0.557,10394.0,0.476,0.518,11183.0,737.0,11.0,25531.0,13361.0,12170.0,3.8,44.9,48.6,0.3,1.2,0.0,22.7
68,Antelope,NE,0.844,0.118,3220.0,0.863,0.126,3583.0,182.0,1.0,6406.0,3213.0,3193.0,3.2,95.3,0.2,0.3,0.4,0.0,11.5
69,Antrim,MI,0.624,0.328,13572.0,0.564,0.42,17347.0,143.0,0.0,23133.0,11479.0,11654.0,2.1,95.0,0.3,0.8,0.3,0.0,12.6
70,Apache,AZ,0.285,0.654,18659.0,0.327,0.661,34397.0,4003.0,171.0,71602.0,35355.0,36247.0,6.1,18.5,0.5,72.8,0.3,0.1,35.9
71,Appanoose,IA,0.661,0.297,6096.0,0.694,0.291,6506.0,287.0,3.0,12547.0,6206.0,6341.0,1.8,95.7,0.6,0.1,0.5,0.0,17.1
72,Appling,GA,0.784,0.205,7003.0,0.782,0.213,8341.0,1179.0,38.0,18471.0,9090.0,9381.0,9.7,69.6,17.9,0.6,0.8,0.0,24.7
73,Appomattox,VA,0.718,0.254,7954.0,0.725,0.262,9239.0,308.0,6.0,15462.0,7507.0,7955.0,1.3,76.7,20.1,0.1,0.2,0.0,14.4
74,Aransas,TX,0.739,0.235,10467.0,0.752,0.237,12241.0,351.0,18.0,24832.0,12448.0,12384.0,27.0,67.7,1.6,0.0,2.0,0.0,17.8
75,Arapahoe,CO,0.389,0.527,281658.0,0.364,0.61,346740.0,13956.0,387.0,626612.0,309190.0,317422.0,18.9,61.3,10.2,0.3,5.6,0.2,9.9
76,Archer,TX,0.887,0.092,4269.0,0.897,0.093,4796.0,165.0,1.0,8793.0,4335.0,4458.0,8.3,88.6,0.8,0.3,0.4,0.0,8.8
77,Archuleta,CO,0.581,0.341,7290.0,0.568,0.409,9030.0,68.0,0.0,12592.0,6400.0,6192.0,18.3,76.7,1.1,2.1,0.7,0.0,11.6
78,Arenac,MI,0.631,0.3,7457.0,0.671,0.314,8830.0,111.0,3.0,15238.0,7714.0,7524.0,2.0,94.9,0.5,1.3,0.4,0.0,18.5
79,Arkansas,AR,0.616,0.312,6211.0,0.684,0.289,6284.0,726.0,17.0,18352.0,8785.0,9567.0,3.0,70.2,26.0,0.0,0.0,0.0,20.7
80,Arlington,VA,0.169,0.77,119344.0,0.172,0.813,129498.0,4764.0,154.0,229534.0,114403.0,115131.0,15.5,62.3,8.5,0.3,10.2,0.1,8.2
81,Armstrong,PA,0.745,0.225,30446.0,0.756,0.233,36111.0,786.0,21.0,66737.0,33176.0,33561.0,0.7,97.3,1.0,0.0,0.2,0.0,13.0
82,Armstrong,TX,0.909,0.069,1017.0,0.931,0.067,1112.0,27.0,1.0,1929.0,974.0,955.0,10.0,86.6,1.2,1.3,0.0,0.0,7.5
83,Aroostook,ME,0.555,0.383,34963.0,,,,67.0,1.0,68840.0,34006.0,34834.0,1.1,94.5,0.9,1.7,0.4,0.0,17.5
84,Arthur,NE,0.901,0.061,263.0,0.915,0.074,284.0,5.0,0.0,421.0,204.0,217.0,0.0,97.6,0.0,0.0,0.0,0.0,10.9
85,Ascension,LA,0.661,0.301,54663.0,0.653,0.327,62325.0,4299.0,100.0,119129.0,58718.0,60411.0,5.3,69.4,21.8,0.0,0.9,0.0,11.7
86,Ashe,NC,0.711,0.264,13160.0,0.724,0.264,15691.0,481.0,3.0,26833.0,13213.0,13620.0,5.2,92.5,0.8,0.4,0.4,0.0,19.4
87,Ashland,OH,0.713,0.235,24074.0,0.734,0.249,25883.0,511.0,9.0,53299.0,26005.0,27294.0,1.3,96.0,0.8,0.0,0.6,0.0,14.2
88,Ashland,WI,0.433,0.522,7926.0,0.439,0.548,8757.0,301.0,3.0,15779.0,7954.0,7825.0,2.6,82.7,0.4,10.6,0.4,0.0,14.6
89,Ashley,AR,0.66,0.298,8083.0,0.7,0.268,7926.0,573.0,11.0,20771.0,10126.0,10645.0,5.2,68.0,25.6,0.2,0.0,0.0,21.3
90,Ashtabula,OH,0.572,0.382,39809.0,0.606,0.375,43253.0,890.0,48.0,98622.0,49509.0,49113.0,4.0,89.9,3.4,0.2,0.5,0.0,19.8
91,Asotin,WA,0.59,0.322,9684.0,0.615,0.359,11795.0,294.0,8.0,22259.0,10594.0,11665.0,3.6,91.2,0.4,0.9,0.9,0.1,13.5
92,Assumption,LA,0.616,0.361,10904.0,0.647,0.341,11235.0,813.0,24.0,22881.0,11085.0,11796.0,2.8,65.8,29.7,0.6,0.3,0.0,15.7
93,Atascosa,TX,0.632,0.341,13605.0,0.665,0.324,18085.0,1287.0,37.0,48139.0,24051.0,24088.0,63.5,34.2,0.7,0.1,0.4,0.0,14.6
94,Atchison,KS,0.622,0.304,6393.0,0.66,0.316,7312.0,537.0,6.0,16466.0,7957.0,8509.0,2.9,88.4,3.1,0.4,0.3,0.1,18.5
95,Atchison,MO,0.756,0.199,2723.0,0.781,0.2,2814.0,86.0,1.0,5335.0,2642.0,2693.0,1.2,96.6,0.4,0.4,0.6,0.0,12.1
96,Athens,OH,0.387,0.557,27941.0,0.418,0.565,24876.0,1388.0,2.0,65563.0,32641.0,32922.0,1.8,89.7,2.5,0.2,2.8,0.1,30.2
97,Atkinson,GA,0.719,0.267,2604.0,0.729,0.261,3155.0,486.0,6.0,8313.0,4112.0,4201.0,24.6,56.6,17.8,0.7,0.0,0.0,27.4
98,Atlantic,NJ,0.453,0.515,105738.0,0.462,0.523,131980.0,5341.0,267.0,272926.0,132171.0,140755.0,18.5,56.4,14.3,0.2,8.4,0.0,15.3
99,Atoka,OK,0.813,0.159,5002.0,0.846,0.142,5389.0,467.0,1.0,13899.0,7340.0,6559.0,3.4,71.8,3.7,11.4,0.7,0.1,19.8
100,Attala,MS,0.592,0.393,7242.0,0.586,0.401,8832.0,819.0,27.0,18731.0,8860.0,9871.0,2.0,54.0,42.2,0.1,0.4,0.0,22.6
101,Audrain,MO,0.695,0.256,10043.0,0.725,0.254,10660.0,654.0,10.0,25763.0,11744.0,14019.0,2.9,87.1,6.1,0.2,0.2,0.0,16.7
102,Audubon,IA,0.632,0.319,3379.0,0.672,0.314,3416.0,192.0,1.0,5711.0,2814.0,2897.0,0.4,97.1,0.4,0.0,0.5,0.0,11.1
103,Auglaize,OH,0.793,0.167,22860.0,0.805,0.18,25396.0,1279.0,19.0,45778.0,22866.0,22912.0,1.6,96.0,0.4,0.2,0.5,0.1,9.0
104,Augusta,VA,0.713,0.221,36661.0,0.728,0.257,42162.0,718.0,9.0,74390.0,37695.0,36695.0,2.5,91.4,4.0,0.2,0.6,0.1,8.8
105,Aurora,SD,0.692,0.242,1407.0,0.749,0.226,1405.0,205.0,0.0,2739.0,1445.0,1294.0,6.7,88.8,1.6,2.3,0.0,0.0,6.2
106,Austin,TX,0.786,0.189,12255.0,0.785,0.204,14368.0,521.0,10.0,29292.0,14474.0,14818.0,25.9,63.3,8.9,0.0,0.2,0.0,13.4
107,Autauga,AL,0.734,0.24,24661.0,0.715,0.27,27639.0,2173.0,31.0,55036.0,26899.0,28137.0,2.7,75.4,18.9,0.3,0.9,0.0,13.7
108,Avery,NC,0.772,0.207,8060.0,0.759,0.232,9339.0,647.0,1.0,17535.0,9573.0,7962.0,5.1,89.0,4.2,0.5,0.6,0.0,14.7
109,Avoyelles,LA,0.673,0.303,16581.0,0.696,0.288,17292.0,1757.0,62.0,41095.0,20693.0,20402.0,1.8,65.3,30.1,1.2,0.1,0.1,23.7
110,Baca,CO,0.814,0.132,2107.0,0.839,0.143,2193.0,37.0,0.0,3581.0,1732.0,1849.0,10.5,85.7,1.5,1.1,0.0,0.0,19.5
111,Bacon,GA,0.837,0.151,4010.0,0.861,0.134,4668.0,640.0,16.0,11279.0,5599.0,5680.0,8.5,73.6,14.6,0.0,0.9,0.2,23.2
112,Bailey,TX,0.753,0.223,1784.0,0.771,0.22,1854.0,311.0,5.0,7098.0,3678.0,3420.0,62.7,34.6,1.5,0.1,0.9,0.2,22.3
113,Baker,FL,0.815,0.167,12634.0,0.846,0.145,14082.0,1805.0,24.0,27537.0,14422.0,13115.0,2.4,81.9,13.8,0.4,0.7,0.0,17.2
114,Baker,GA,0.538,0.451,1440.0,0.577,0.419,1555.0,92.0,6.0,3251.0,1547.0,1704.0,5.4,52.1,41.3,0.2,0.6,0.5,19.5
115,Baker,OR,0.727,0.21,8479.0,0.741,0.236,9878.0,144.0,3.0,15980.0,8156.0,7824.0,3.9,91.1,0.9,1.0,0.8,0.4,15.3
116,Baldwin,AL,0.774,0.196,94090.0,0.762,0.223,108945.0,6966.0,71.0,203360.0,99527.0,103833.0,4.4,83.1,9.5,0.8,0.7,0.0,11.8
117,Baldwin,GA,0.478,0.495,16075.0,0.488,0.501,18251.0,2337.0,65.0,45527.0,22893.0,22634.0,2.2,52.9,41.4,0.3,1.5,0.2,27.8
118,Ballard,KY,0.771,0.199,4101.0,0.794,0.195,4225.0,81.0,1.0,8152.0,4077.0,4075.0,1.2,93.0,3.9,0.2,0.4,0.0,18.2
119,Baltimore,MD,0.391,0.565,335017.0,0.376,0.607,346035.0,21194.0,675.0,828637.0,392930.0,435707.0,5.1,58.7,27.5,0.2,5.9,0.0,9.1
120,Baltimore city,MD,0.109,0.854,208980.0,0.108,0.877,220296.0,,,619796.0,291377.0,328419.0,5.0,27.6,62.3,0.2,2.6,0.0,22.4
121,Bamberg,SC,0.355,0.627,6195.0,0.373,0.619,6482.0,699.0,34.0,14842.0,7218.0,7624.0,1.9,35.6,61.5,0.1,0.4,0.0,24.5
122,Bandera,TX,0.799,0.169,10213.0,0.791,0.197,12703.0,190.0,8.0,21316.0,10570.0,10746.0,18.0,78.8,1.0,0.2,0.2,0.0,16.5
123,Banks,GA,0.883,0.098,6946.0,0.886,0.106,8801.0,574.0,8.0,18363.0,9245.0,9118.0,6.4,88.4,2.5,0.2,1.2,0.0,14.3
124,Banner,NE,0.91,0.046,390.0,0.883,0.105,410.0,4.0,0.0,728.0,356.0,372.0,7.8,89.4,0.5,0.0,0.0,0.0,8.9
125,Bannock,ID,0.514,0.31,33405.0,0.59,0.371,39553.0,2732.0,14.0,84113.0,41867.0,42246.0,8.3,84.5,0.6,2.7,1.2,0.2,17.6
126,Baraga,MI,0.619,0.332,3486.0,0.622,0.366,4036.0,125.0,4.0,8580.0,5112.0,3468.0,1.5,73.1,15.8,4.7,0.5,0.0,14.4
127,Barber,KS,0.825,0.127,2209.0,0.861,0.123,2313.0,57.0,0.0,4905.0,2525.0,2380.0,3.2,92.4,0.7,1.5,0.7,0.0,15.9
128,Barbour,AL,0.523,0.467,10390.0,0.536,0.456,10457.0,1061.0,9.0,26201.0,13976.0,12225.0,4.2,45.7,47.8,0.2,0.6,0.0,27.2
129,Barbour,WV,0.749,0.201,6024.0,0.766,0.218,6677.0,187.0,1.0,16790.0,8165.0,8625.0,0.9,95.7,0.9,0.4,0.7,0.0,22.5
130,Barnes,ND,0.601,0.304,5253.0,0.641,0.327,5507.0,410.0,1.0,10971.0,5397.0,5574.0,1.9,92.9,0.9,2.0,0.5,0.0,10.0
131,Barnstable,MA,0.406,0.54,132667.0,0.4,0.58,27051.0,2051.0,185.0,213900.0,102152.0,111748.0,2.7,90.2,2.7,0.4,1.5,0.1,7.5
132,Barnwell,SC,0.516,0.464,9479.0,0.532,0.457,10321.0,887.0,25.0,21788.0,10369.0,11419.0,2.3,51.2,45.1,0.1,0.4,0.0,27.0
133,Barren,KY,0.729,0.231,18483.0,0.729,0.255,20079.0,1358.0,13.0,43418.0,21123.0,22295.0,3.0,90.7,3.9,0.2,0.5,0.0,22.9
134,Barron,WI,0.604,0.35,22514.0,0.623,0.363,25346.0,1320.0,7.0,45358.0,22759.0,22599.0,2.4,93.8,1.2,0.8,0.7,0.0,11.5
135,Barrow,GA,0.732,0.228,28828.0,0.705,0.275,38017.0,2672.0,51.0,75099.0,37033.0,38066.0,10.0,73.0,11.1,0.1,3.6,0.0,13.2
136,Barry,MI,0.634,0.301,30265.0,0.654,0.329,35914.0,803.0,6.0,59607.0,29958.0,29649.0,2.7,94.6,0.4,0.2,0.5,0.0,9.3
137,Barry,MO,0.782,0.186,14604.0,0.797,0.189,15598.0,912.0,9.0,35398.0,17782.0,17616.0,9.0,86.5,0.3,0.6,1.5,0.0,20.5
138,Bartholomew,IN,0.637,0.304,32389.0,0.617,0.356,36299.0,1597.0,59.0,81024.0,40688.0,40336.0,6.5,83.2,1.7,0.2,6.3,0.1,12.4
139,Barton,KS,0.77,0.181,10088.0,0.774,0.21,10961.0,803.0,7.0,27067.0,13445.0,13622.0,14.5,82.0,1.1,0.3,0.1,0.2,15.7
140,Barton,MO,0.836,0.134,5932.0,0.85,0.139,6077.0,453.0,4.0,11942.0,5924.0,6018.0,2.5,92.7,0.2,1.9,0.6,0.0,20.9
141,Bartow,GA,0.761,0.209,39263.0,0.747,0.24,50465.0,3714.0,96.0,102623.0,50888.0,51735.0,8.2,78.2,10.5,0.2,0.9,0.0,14.2
142,Bastrop,TX,0.577,0.374,28250.0,0.558,0.421,36709.0,2023.0,32.0,80306.0,40845.0,39461.0,36.0,53.7,7.7,0.4,0.9,0.0,13.3
143,Bates,MO,0.748,0.202,8021.0,0.782,0.198,8435.0,271.0,8.0,16405.0,8010.0,8395.0,2.1,94.5,1.2,0.4,0.2,0.1,14.3
144,Bath,KY,0.672,0.297,4583.0,0.708,0.28,5627.0,138.0,1.0,12189.0,6012.0,6177.0,1.5,95.4,1.0,0.1,0.3,0.0,24.0
145,Bath,VA,0.69,0.269,2243.0,0.726,0.268,2513.0,26.0,0.0,4458.0,2311.0,2147.0,5.7,85.3,2.7,0.0,0.3,0.0,9.3
146,Baxter,AR,0.743,0.211,19730.0,0.754,0.221,20968.0,776.0,11.0,41093.0,19857.0,21236.0,2.1,95.1,0.2,0.5,0.4,0.0,12.6
147,Bay,FL,0.712,0.249,87151.0,0.709,0.275,93131.0,6879.0,134.0,180117.0,89542.0,90575.0,6.0,77.3,10.7,0.7,2.3,0.0,15.4
148,Bay,MI,0.535,0.409,52932.0,0.547,0.437,60985.0,1602.0,65.0,105350.0,51875.0,53475.0,5.2,90.4,1.5,0.2,0.6,0.0,16.3
149,Bayfield,WI,0.435,0.522,9491.0,0.424,0.565,10880.0,280.0,2.0,15004.0,7642.0,7362.0,1.7,85.0,0.6,10.0,0.5,0.0,11.0
150,Baylor,TX,0.849,0.128,1492.0,0.88,0.107,1680.0,46.0,3.0,3602.0,1740.0,1862.0,10.1,83.8,3.2,0.0,0.0,0.0,13.1
151,Beadle,SD,0.658,0.282,6772.0,0.679,0.298,7081.0,1397.0,15.0,18163.0,9219.0,8944.0,9.1,79.5,0.4,1.4,9.3,0.0,23.7
152,Bear Lake,ID,0.752,0.087,2928.0,0.875,0.109,3215.0,77.0,1.0,5942.0,2928.0,3014.0,4.1,93.7,0.8,0.2,0.7,0.0,14.5
153,Beaufort,NC,0.614,0.369,23599.0,0.626,0.366,26128.0,1442.0,45.0,47316.0,22596.0,24720.0,7.6,65.8,25.6,0.0,0.1,0.0,19.1
154,Beaufort,SC,0.549,0.406,72770.0,0.544,0.444,97835.0,6214.0,93.0,179316.0,88524.0,90792.0,11.3,67.4,18.1,0.2,1.2,0.1,11.9
155,Beauregard,LA,0.812,0.159,15078.0,0.83,0.155,16357.0,1086.0,40.0,36598.0,18631.0,17967.0,3.7,80.0,12.7,0.6,0.4,0.0,17.3
156,Beaver,OK,0.888,0.079,2237.0,0.904,0.087,2178.0,99.0,1.0,5445.0,2701.0,2744.0,22.1,76.4,0.1,0.6,0.0,0.0,11.7
157,Beaver,PA,0.583,0.382,79036.0,0.581,0.406,93083.0,2343.0,140.0,168161.0,81606.0,86555.0,1.5,89.7,5.9,0.0,0.5,0.0,10.8
158,Beaver,UT,0.74,0.106,2484.0,0.869,0.116,3076.0,0.0,0.0,6414.0,3296.0,3118.0,10.9,88.7,0.0,0.1,0.2,0.0,10.5
