,county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty
4578,Westminster,MA,,,,0.469,0.501,5097.0,,,,,,,,,,,,
4579,Westminster,VT,,,,0.238,0.724,1799.0,,,,,,,,,,,,
4580,Westmore,VT,,,,0.425,0.525,240.0,,,,,,,,,,,,
4581,Westmoreland,NH,,,,0.4,0.583,1133.0,,,,,,,,,,,,
4582,Weston,CT,,,,0.257,0.725,6528.0,,,,,,,,,,,,
4583,Weston,MA,,,,0.246,0.73,6918.0,,,,,,,,,,,,
4584,Weston,ME,,,,0.687,0.302,182.0,,,,,,,,,,,,
4585,Weston,VT,,,,0.249,0.726,457.0,,,,,,,,,,,,
4586,Westport,CT,,,,0.241,0.744,17538.0,,,,,,,,,,,,
4587,Westport,MA,,,,0.481,0.501,10293.0,,,,,,,,,,,,
4588,Westport,ME,,,,0.419,0.55,551.0,,,,,,,,,,,,
4589,Westwood,MA,,,,0.326,0.648,10520.0,,,,,,,,,,,,
4590,Wethersfield,CT,,,,0.394,0.591,16277.0,,,,,,,,,,,,
4591,Weybridge,VT,,,,0.127,0.845,612.0,,,,,,,,,,,,
4592,Weymouth,MA,,,,0.381,0.596,32287.0,,,,,,,,,,,,
4593,Whately,MA,,,,0.299,0.673,1106.0,,,,,,,,,,,,
4594,Wheelock,VT,,,,0.442,0.522,452.0,,,,,,,,,,,,
4595,Whitefield,ME,,,,0.508,0.464,1483.0,,,,,,,,,,,,
4596,Whitefield,NH,,,,0.506,0.478,1321.0,,,,,,,,,,,,
4597,Whiting,ME,,,,,,0.0,,,,,,,,,,,,
4598,Whiting,VT,,,,0.385,0.569,218.0,,,,,,,,,,,,
4599,Whitingham,VT,,,,0.439,0.512,775.0,,,,,,,,,,,,
4600,Whitman,MA,,,,0.45,0.521,8612.0,,,,,,,,,,,,
4601,Whitneyville,ME,,,,,,0.0,,,,,,,,,,,,
4602,Wilbraham,MA,,,,0.455,0.527,9341.0,,,,,,,,,,,,
4603,Williamsburg,MA,,,,0.185,0.793,1822.0,,,,,,,,,,,,
4604,Williamstown,MA,,,,0.134,0.85,3634.0,,,,,,,,,,,,
4605,Williamstown,VT,,,,0.496,0.461,1862.0,,,,,,,,,,,,
4606,Willimantic,ME,,,,,,0.0,,,,,,,,,,,,
4607,Willington,CT,,,,0.451,0.522,3204.0,,,,,,,,,,,,
