Alleghany,NC,0.727,0.249,5214,0.745,0.245,6040,316,1,10935,5445,5490,9.4,87.3,2.4,0.1,0.2,0,21
Alleghany,VA,0.667,0.296,7306,0.715,0.274,8191,154,4,15489,7586,7903,1.4,91.9,5.5,0,0.1,0.1,19.3
Allegheny,PA,0.4,0.564,643173,0.39,0.595,707837,15940,419,1229605,593177,636428,2,79.1,12.7,0.1,3.5,0,12.5
Allen,IN,0.575,0.379,145787,0.544,0.431,168964,9638,237,367747,179414,188333,7.2,74.6,11.3,0.2,3.5,0,14.7
Allen,KS,0.673,0.263,5314,0.711,0.267,5842,112,1,12752,6318,6434,3.3,90.7,1.5,0.1,0.6,0.1,14.2
Allen,KY,0.799,0.167,8091,0.81,0.175,9363,566,11,20628,10227,10401,1.9,95.4,1.9,0,0.2,0,20
Allen,OH,0.669,0.287,44636,0.691,0.294,46362,2580,80,104157,52614,51543,2.9,81.2,11.7,0.2,0.7,0,15
Allen,LA,0.743,0.228,9245,0.772,0.215,9810,1856,63,25667,14542,11125,4.9,71.1,19,1.8,0.7,0,16.6
Allendale,SC,0.22,0.761,3578,0.232,0.756,3593,424,7,9402,4952,4450,3.1,22.5,73.5,0.5,0,0,30.4
Alpena,MI,0.619,0.332,14688,0.63,0.354,16966,180,14,28730,14169,14561,1.3,96,0.5,0.4,0.4,0.1,15
Alpine,CA,0.367,0.553,575,0.323,0.643,736,8,0,1203,664,539,9.7,64.6,1.5,20.6,0.7,0,19.8
Amador,CA,0.604,0.34,10049,0.609,0.366,22282,347,16,37306,20005,17301,13.2,79.3,2,0.7,1.5,0.2,10.6
Amelia,VA,0.669,0.306,7035,0.684,0.306,7881,150,6,12802,6644,6158,1.1,72.4,23.7,0.3,0.1,0,13
Amherst,VA,0.636,0.329,15164,0.622,0.32,17719,626,6,31819,15331,16488,2.3,75.5,17.6,0.2,0.6,0,13.4
Amite,MS,0.609,0.382,7033,0.633,0.354,5974,436,13,12574,6133,6441,0.2,57.3,42,0,0.3,0,22.8
Anderson,KS,0.728,0.203,3277,0.773,0.206,3720,203,0,7840,3849,3991,0.7,95.2,0.2,3.5,0,0,13.6
Anderson,KY,0.722,0.231,11420,0.728,0.252,13261,280,1,22017,10639,11378,1.7,94.2,2.4,0,0.7,0,12
Anderson,SC,0.699,0.262,80296,0.703,0.283,96093,6051,209,194174,93474,100700,3.5,77.6,16,0.2,0.9,0,15.6
Anderson,TN,0.646,0.303,29723,0.652,0.33,35527,1869,16,75538,36803,38735,2.7,89.6,3.4,0.1,1.4,0.1,16.3
Anderson,TX,0.78,0.199,16887,0.786,0.205,19155,2979,39,57747,35292,22455,17.3,59.7,20.9,0.3,0.5,0,15.7
Andrew,MO,0.729,0.224,9140,0.742,0.241,9775,474,8,17358,8622,8736,2.3,94.9,1.3,0.1,0.1,0,9
Andrews,TX,0.797,0.17,4926,0.843,0.145,5856,667,10,17577,8980,8597,55.4,41.1,1.5,0.1,0.2,0.1,11.9
Androscoggin,ME,0.509,0.415,55340,,,,876,10,107317,52550,54767,1.8,91.1,1.6,0.2,0.8,0,14.3
Angelina,TX,0.725,0.252,29870,0.724,0.264,34628,2317,93,87700,42707,44993,21.5,61.2,14.7,0.1,1.1,0,19.1
Anne Arundel,MD,0.471,0.478,242939,0.42,0.559,293582,12256,281,564600,279581,285019,7.3,69.6,15.9,0.1,3.6,0.1,6.1
Anoka,MN,0.507,0.41,184084,0.498,0.479,210491,9947,159,344861,172482,172379,4.2,82.7,5.5,0.5,4.2,0,6.6
Anson,NC,0.431,0.557,10394,0.476,0.518,11183,737,11,25531,13361,12170,3.8,44.9,48.6,0.3,1.2,0,22.7
Antelope,NE,0.844,0.118,3220,0.863,0.126,3583,182,1,6406,3213,3193,3.2,95.3,0.2,0.3,0.4,0,11.5
Antrim,MI,0.624,0.328,13572,0.564,0.42,17347,143,0,23133,11479,11654,2.1,95,0.3,0.8,0.3,0,12.6
Apache,AZ,0.285,0.654,18659,0.327,0.661,34397,4003,171,71602,35355,36247,6.1,18.5,0.5,72.8,0.3,0.1,35.9
Appanoose,IA,0.661,0.297,6096,0.694,0.291,6506,287,3,12547,6206,6341,1.8,95.7,0.6,0.1,0.5,0,17.1
Appling,GA,0.784,0.205,7003,0.782,0.213,8341,1179,38,18471,9090,9381,9.7,69.6,17.9,0.6,0.8,0,24.7
Appomattox,VA,0.718,0.254,7954,0.725,0.262,9239,308,6,15462,7507,7955,1.3,76.7,20.1,0.1,0.2,0,14.4
Aransas,TX,0.739,0.235,10467,0.752,0.237,12241,351,18,24832,12448,12384,27,67.7,1.6,0,2,0,17.8
Arapahoe,CO,0.389,0.527,281658,0.364,0.61,346740,13956,387,626612,309190,317422,18.9,61.3,10.2,0.3,5.6,0.2,9.9
Archer,TX,0.887,0.092,4269,0.897,0.093,4796,165,1,8793,4335,4458,8.3,88.6,0.8,0.3,0.4,0,8.8
Archuleta,CO,0.581,0.341,7290,0.568,0.409,9030,68,0,12592,6400,6192,18.3,76.7,1.1,2.1,0.7,0,11.6
Arenac,MI,0.631,0.3,7457,0.671,0.314,8830,111,3,15238,7714,7524,2,94.9,0.5,1.3,0.4,0,18.5
Arkansas,AR,0.616,0.312,6211,0.684,0.289,6284,726,17,18352,8785,9567,3,70.2,26,0,0,0,20.7
Arlington,VA,0.169,0.77,119344,0.172,0.813,129498,4764,154,229534,114403,115131,15.5,62.3,8.5,0.3,10.2,0.1,8.2
Armstrong,PA,0.745,0.225,30446,0.756,0.233,36111,786,21,66737,33176,33561,0.7,97.3,1,0,0.2,0,13
Armstrong,TX,0.909,0.069,1017,0.931,0.067,1112,27,1,1929,974,955,10,86.6,1.2,1.3,0,0,7.5
Aroostook,ME,0.555,0.383,34963,,,,67,1,68840,34006,34834,1.1,94.5,0.9,1.7,0.4,0,17.5
Arthur,NE,0.901,0.061,263,0.915,0.074,284,5,0,421,204,217,0,97.6,0,0,0,0,10.9
Ascension,LA,0.661,0.301,54663,0.653,0.327,62325,4299,100,119129,58718,60411,5.3,69.4,21.8,0,0.9,0,11.7
Ashe,NC,0.711,0.264,13160,0.724,0.264,15691,481,3,26833,13213,13620,5.2,92.5,0.8,0.4,0.4,0,19.4
Ashland,OH,0.713,0.235,24074,0.734,0.249,25883,511,9,53299,26005,27294,1.3,96,0.8,0,0.6,0,14.2
Ashland,WI,0.433,0.522,7926,0.439,0.548,8757,301,3,15779,7954,7825,2.6,82.7,0.4,10.6,0.4,0,14.6
Ashley,AR,0.66,0.298,8083,0.7,0.268,7926,573,11,20771,10126,10645,5.2,68,25.6,0.2,0,0,21.3
Ashtabula,OH,0.572,0.382,39809,0.606,0.375,43253,890,48,98622,49509,49113,4,89.9,3.4,0.2,0.5,0,19.8
Asotin,WA,0.59,0.322,9684,0.615,0.359,11795,294,8,22259,10594,11665,3.6,91.2,0.4,0.9,0.9,0.1,13.5
Assumption,LA,0.616,0.361,10904,0.647,0.341,11235,813,24,22881,11085,11796,2.8,65.8,29.7,0.6,0.3,0,15.7
Atascosa,TX,0.632,0.341,13605,0.665,0.324,18085,1287,37,48139,24051,24088,63.5,34.2,0.7,0.1,0.4,0,14.6
Atchison,KS,0.622,0.304,6393,0.66,0.316,7312,537,6,16466,7957,8509,2.9,88.4,3.1,0.4,0.3,0.1,18.5
Atchison,MO,0.756,0.199,2723,0.781,0.2,2814,86,1,5335,2642,2693,1.2,96.6,0.4,0.4,0.6,0,12.1
Athens,OH,0.387,0.557,27941,0.418,0.565,24876,1388,2,65563,32641,32922,1.8,89.7,2.5,0.2,2.8,0.1,30.2
Atkinson,GA,0.719,0.267,2604,0.729,0.261,3155,486,6,8313,4112,4201,24.6,56.6,17.8,0.7,0,0,27.4
Atlantic,NJ,0.453,0.515,105738,0.462,0.523,131980,5341,267,272926,132171,140755,18.5,56.4,14.3,0.2,8.4,0,15.3
Atoka,OK,0.813,0.159,5002,0.846,0.142,5389,467,1,13899,7340,6559,3.4,71.8,3.7,11.4,0.7,0.1,19.8
Attala,MS,0.592,0.393,7242,0.586,0.401,8832,819,27,18731,8860,9871,2,54,42.2,0.1,0.4,0,22.6
Audrain,MO,0.695,0.256,10043,0.725,0.254,10660,654,10,25763,11744,14019,2.9,87.1,6.1,0.2,0.2,0,16.7
Audubon,IA,0.632,0.319,3379,0.672,0.314,3416,192,1,5711,2814,2897,0.4,97.1,0.4,0,0.5,0,11.1
Auglaize,OH,0.793,0.167,22860,0.805,0.18,25396,1279,19,45778,22866,22912,1.6,96,0.4,0.2,0.5,0.1,9
Augusta,VA,0.713,0.221,36661,0.728,0.257,42162,718,9,74390,37695,36695,2.5,91.4,4,0.2,0.6,0.1,8.8
Aurora,SD,0.692,0.242,1407,0.749,0.226,1405,205,0,2739,1445,1294,6.7,88.8,1.6,2.3,0,0,6.2
Austin,TX,0.786,0.189,12255,0.785,0.204,14368,521,10,29292,14474,14818,25.9,63.3,8.9,0,0.2,0,13.4
Autauga,AL,0.734,0.24,24661,0.715,0.27,27639,2173,31,55036,26899,28137,2.7,75.4,18.9,0.3,0.9,0,13.7
Avery,NC,0.772,0.207,8060,0.759,0.232,9339,647,1,17535,9573,7962,5.1,89,4.2,0.5,0.6,0,14.7
Avoyelles,LA,0.673,0.303,16581,0.696,0.288,17292,1757,62,41095,20693,20402,1.8,65.3,30.1,1.2,0.1,0.1,23.7
Baca,CO,0.814,0.132,2107,0.839,0.143,2193,37,0,3581,1732,1849,10.5,85.7,1.5,1.1,0,0,19.5
Bacon,GA,0.837,0.151,4010,0.861,0.134,4668,640,16,11279,5599,5680,8.5,73.6,14.6,0,0.9,0.2,23.2
Bailey,TX,0.753,0.223,1784,0.771,0.22,1854,311,5,7098,3678,3420,62.7,34.6,1.5,0.1,0.9,0.2,22.3
Baker,FL,0.815,0.167,12634,0.846,0.145,14082,1805,24,27537,14422,13115,2.4,81.9,13.8,0.4,0.7,0,17.2
Baker,GA,0.538,0.451,1440,0.577,0.419,1555,92,6,3251,1547,1704,5.4,52.1,41.3,0.2,0.6,0.5,19.5
Baker,OR,0.727,0.21,8479,0.741,0.236,9878,144,3,15980,8156,7824,3.9,91.1,0.9,1,0.8,0.4,15.3
Baldwin,AL,0.774,0.196,94090,0.762,0.223,108945,6966,71,203360,99527,103833,4.4,83.1,9.5,0.8,0.7,0,11.8
Baldwin,GA,0.478,0.495,16075,0.488,0.501,18251,2337,65,45527,22893,22634,2.2,52.9,41.4,0.3,1.5,0.2,27.8
Ballard,KY,0.771,0.199,4101,0.794,0.195,4225,81,1,8152,4077,4075,1.2,93,3.9,0.2,0.4,0,18.2
Baltimore,MD,0.391,0.565,335017,0.376,0.607,346035,21194,675,828637,392930,435707,5.1,58.7,27.5,0.2,5.9,0,9.1
Baltimore city,MD,0.109,0.854,208980,0.108,0.877,220296,,,619796,291377,328419,5,27.6,62.3,0.2,2.6,0,22.4
Bamberg,SC,0.355,0.627,6195,0.373,0.619,6482,699,34,14842,7218,7624,1.9,35.6,61.5,0.1,0.4,0,24.5
Bandera,TX,0.799,0.169,10213,0.791,0.197,12703,190,8,21316,10570,10746,18,78.8,1,0.2,0.2,0,16.5
Banks,GA,0.883,0.098,6946,0.886,0.106,8801,574,8,18363,9245,9118,6.4,88.4,2.5,0.2,1.2,0,14.3
Banner,NE,0.91,0.046,390,0.883,0.105,410,4,0,728,356,372,7.8,89.4,0.5,0,0,0,8.9
Bannock,ID,0.514,0.31,33405,0.59,0.371,39553,2732,14,84113,41867,42246,8.3,84.5,0.6,2.7,1.2,0.2,17.6
Baraga,MI,0.619,0.332,3486,0.622,0.366,4036,125,4,8580,5112,3468,1.5,73.1,15.8,4.7,0.5,0,14.4
Barber,KS,0.825,0.127,2209,0.861,0.123,2313,57,0,4905,2525,2380,3.2,92.4,0.7,1.5,0.7,0,15.9
Barbour,AL,0.523,0.467,10390,0.536,0.456,10457,1061,9,26201,13976,12225,4.2,45.7,47.8,0.2,0.6,0,27.2
Barbour,WV,0.749,0.201,6024,0.766,0.218,6677,187,1,16790,8165,8625,0.9,95.7,0.9,0.4,0.7,0,22.5
Barnes,ND,0.601,0.304,5253,0.641,0.327,5507,410,1,10971,5397,5574,1.9,92.9,0.9,2,0.5,0,10
