county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
New London,CT,270772,135581,135191,10,76.2,5.2,0.5,4.1,0,9.9
Tolland,CT,151596,76162,75434,5.2,85.4,2.9,0,4.4,0,6.5
Windham,CT,116674,57906,58768,11.1,83.5,1.8,0,1.3,0,11.1
District of Columbia,DC,672391,319046,353345,10.7,36,46.9,0.2,3.7,0,17.4
Kent,DE,173145,83544,89601,6.8,62.7,24.1,0.6,2,0,13
New Castle,DE,555036,268818,286218,9.6,58.5,24.1,0.2,5.4,0,11.9
Sussex,DE,215551,104514,111037,9.2,74.9,12.1,0.4,1.2,0,12
Alachua,FL,259865,125712,134153,9.3,62,19.8,0.3,5.9,0.1,23.3
Baker,FL,27537,14422,13115,2.4,81.9,13.8,0.4,0.7,0,17.2
Bay,FL,180117,89542,90575,6,77.3,10.7,0.7,2.3,0,15.4
Bradford,FL,26775,14754,12021,3.8,74.5,19.1,0.3,0.6,0,18.8
Brevard,FL,568183,277666,290517,9.7,75.3,9.8,0.3,2.4,0.1,13.4
Broward,FL,1890416,920265,970151,28.4,38.2,27.4,0.2,3.5,0,14
Calhoun,FL,14458,7872,6586,5.8,76.9,12.8,0.9,0.8,0,12.9
Charlotte,FL,173236,84432,88804,6.9,84.4,5.5,0.3,1.2,0,12
Citrus,FL,141373,68487,72886,5.3,88.6,2.8,0.3,1.6,0,17.4
Clay,FL,203291,100119,103172,9.3,74.2,9.6,0.1,3,0.1,10.4
Collier,FL,356774,175608,181166,27.2,63.6,6.8,0.2,1.3,0,12.8
Columbia,FL,68484,35425,33059,5.8,73.1,17.6,0.2,0.9,0.1,16.8
DeSoto,FL,35675,20184,15491,30.5,55.5,12.8,0.2,0.2,0.1,29.9
Dixie,FL,16323,9048,7275,3.9,84.8,7.1,0.4,0.5,0,23.7
Duval,FL,912043,442115,469928,9,54.1,29.3,0.2,4.6,0.1,16
Escambia,FL,309924,153834,156090,5.5,64.8,21.6,0.4,2.8,0.1,14.6
Flagler,FL,105015,50436,54579,10,74.7,10,0.3,2.5,0,13.3
Franklin,FL,11675,6727,4948,5.2,78.2,13.6,0.1,0.4,0.7,20.1
Gadsden,FL,46113,21869,24244,10,32.6,55.3,0.1,0.5,0.1,24.4
Gilchrist,FL,17191,8983,8208,5.5,87.2,5.8,0.1,0.1,0,19.8
Glades,FL,13197,7479,5718,20.8,60.7,12.9,3.8,0.4,0,18
Gulf,FL,16018,9595,6423,4.8,74.5,16.8,0.5,0.6,0.2,14.9
Hamilton,FL,14238,8228,6010,9.2,54.9,34.1,0.6,0,0,26.6
Hardee,FL,27326,14716,12610,43.2,47.4,7.9,0.2,0.6,0,24.5
Hendry,FL,39064,20716,18348,51.9,33.5,10.9,1.5,0.9,0.1,25.5
Hernando,FL,179144,85782,93362,12.2,79.3,4.9,0.3,1.2,0,14.3
Highlands,FL,100177,48518,51659,18.9,68.4,9.3,0.3,1.5,0,18.7
Hillsborough,FL,1351087,658639,692448,27.4,50.3,15.5,0.2,3.9,0.1,15.7
Holmes,FL,19483,10449,9034,2.7,87.1,7.3,1.1,0.2,0.2,26.6
Indian River,FL,147981,71064,76917,12.1,75.9,8.9,0.2,1.2,0,12.7
Jackson,FL,48571,26887,21684,4.6,65.5,26.8,0.7,0.6,0.1,21.6
Jefferson,FL,14085,7554,6531,4,58.2,35.1,0.4,0.1,0,13.9
Lafayette,FL,8684,5104,3580,14.3,68.3,15.1,0.1,0,1,17.8
Lake,FL,326215,157897,168318,14.4,71.1,9.9,0.3,1.9,0,12.8
Lee,FL,700165,342731,357434,20.2,68.4,8.2,0.2,1.5,0,14.9
Leon,FL,285890,135980,149910,6.1,57.2,30.7,0.2,3.3,0,20.5
Levy,FL,39713,19415,20298,8,80.3,8.7,0.2,0.6,0,21.9
Liberty,FL,8347,5216,3131,4.9,74.9,18.2,0.4,0.4,0,17.8
Madison,FL,18518,9804,8714,5.1,54.4,38.8,0.2,1,0,31.9
Manatee,FL,363542,175761,187781,15.9,71.9,8.6,0.2,1.9,0.1,13.4
Marion,FL,343778,164984,178794,12.4,71.3,12.3,0.3,1.5,0,17.6
Martin,FL,155719,77098,78621,13.2,79,5.4,0.2,1.3,0.1,10.9
Miami-Dade,FL,2702602,1311997,1390605,67.5,13.7,16.3,0.1,1.5,0,19
Monroe,FL,76745,40218,36527,23.5,67.3,6.7,0.1,1.2,0,12.7
Nassau,FL,78435,38706,39729,3.8,87.5,6.1,0.4,0.9,0,11.4
Okaloosa,FL,197591,100239,97352,8.7,74.5,9.5,0.6,2.8,0.1,11.5
Okeechobee,FL,40228,21767,18461,25,64,8,0.6,0.9,0.2,22.3
Orange,FL,1290216,633835,656381,30.2,41.6,19.9,0.1,5.1,0,16.7
Osceola,FL,325168,160216,164952,51.6,34.2,9.2,0.2,2.4,0.1,17.8
Palm Beach,FL,1426772,691154,735618,21.3,56,18.1,0.1,2.6,0,13.4
Pasco,FL,498136,242448,255688,14,76.4,5,0.3,2.4,0.1,13.6
Pinellas,FL,949842,456017,493825,9.2,74.7,10,0.2,3.3,0.1,13.7
Polk,FL,652256,319775,332481,20.6,61,14.7,0.2,1.7,0,17.3
Putnam,FL,72435,35683,36752,9.8,71.7,16.2,0.3,0.6,0,27.6
Santa Rosa,FL,166778,85374,81404,5.2,82.9,5.8,0.5,1.9,0.1,11.3
Sarasota,FL,404839,193328,211511,8.8,83.5,4.5,0.2,1.6,0,10.5
Seminole,FL,449260,217099,232161,20.1,62.3,10.6,0.1,4.2,0.1,11.8
St. Johns,FL,226578,110112,116466,6.4,83.6,5,0.2,2.6,0.1,9.1
St. Lucie,FL,298763,146025,152738,18.1,58.6,19.2,0.2,1.9,0.1,16.6
Sumter,FL,116754,58883,57871,5.7,84.7,7.3,0.3,0.7,0,9.2
Suwannee,FL,43814,22204,21610,8.8,75.7,13.3,0.1,0.1,0,20.4
Taylor,FL,22350,12547,9803,4.1,71.8,21.4,0.5,0.4,0.2,16.4
Union,FL,15300,9922,5378,5.4,69.9,21.9,0.7,0.5,0,21.4
Volusia,FL,518660,252651,266009,12.9,72.9,10.2,0.3,1.8,0,16.1
Wakulla,FL,31586,17528,14058,3.6,79.3,14.9,0.4,0.4,0,12.6
Walton,FL,63457,32216,31241,6,84.3,4.9,0.5,1.2,0.2,17
Washington,FL,24472,13300,11172,3.5,77.6,15.3,1.2,0.3,0.3,21
Appling,GA,18471,9090,9381,9.7,69.6,17.9,0.6,0.8,0,24.7
Atkinson,GA,8313,4112,4201,24.6,56.6,17.8,0.7,0,0,27.4
Bacon,GA,11279,5599,5680,8.5,73.6,14.6,0,0.9,0.2,23.2
Baker,GA,3251,1547,1704,5.4,52.1,41.3,0.2,0.6,0.5,19.5
Baldwin,GA,45527,22893,22634,2.2,52.9,41.4,0.3,1.5,0.2,27.8
Banks,GA,18363,9245,9118,6.4,88.4,2.5,0.2,1.2,0,14.3
Barrow,GA,75099,37033,38066,10,73,11.1,0.1,3.6,0,13.2
Bartow,GA,102623,50888,51735,8.2,78.2,10.5,0.2,0.9,0,14.2
Ben Hill,GA,17272,8259,9013,6,56.5,36.2,0,0.2,0,30.4
Berrien,GA,19014,9297,9717,4.9,82.3,10.8,0.2,1,0,23.7
Bibb,GA,153923,72312,81611,3.2,39.3,54,0.2,1.9,0,26.7
Bleckley,GA,12779,5909,6870,2.7,68.8,27.7,0.1,0.2,0,23
Brantley,GA,18411,9070,9341,2.1,92.6,3.1,0.1,0.7,0.1,21.8
Brooks,GA,15629,7531,8098,5.6,56.8,33.6,0,0.8,0,23.6
Bryan,GA,34883,17313,17570,6.6,74.3,14.6,0.5,1.5,0,14.1
Bulloch,GA,73742,36288,37454,3.7,64,28.5,0.2,1.5,0,30.4
Burke,GA,22645,10752,11893,3.1,47,49.1,0,0.3,0,29.2
Butts,GA,23556,12464,11092,3.1,66.6,28.2,0.1,0.6,0,23.5
Calhoun,GA,6503,3915,2588,4.8,32.5,60.5,0,0.5,0,32.2
Camden,GA,52252,26821,25431,6.4,70.1,18.5,0.6,1.4,0.1,12.7
Candler,GA,10894,5353,5541,11.5,61.2,23.5,0.7,0.8,0,31.5
Carroll,GA,114898,56032,58866,6.7,71.1,18.7,0.3,0.8,0.1,18.6
Catoosa,GA,65870,31953,33917,2.9,91.4,2.3,0.2,1.3,0,10.8
Charlton,GA,12963,7393,5570,8.4,62,25.3,1.5,0.8,0,23.1
Chatham,GA,285506,137781,147725,6.3,49.1,39.4,0.2,2.5,0.1,17.3
Chattahoochee,GA,11096,7455,3641,15.3,59.1,17.9,0.8,2.5,0.2,15
Chattooga,GA,24880,12730,12150,4.7,83.1,10.2,0.1,0.4,0,22.5
Cherokee,GA,235896,116132,119764,10,79.9,6.2,0.1,1.9,0,9.4
Clarke,GA,123554,58788,64766,10.6,55.6,27.3,0.1,4.2,0,34.1
Clay,GA,3024,1495,1529,4.7,30.3,64.3,0,0,0,41.4
Clayton,GA,274150,129364,144786,13.2,11.2,67.7,0.2,5.3,0,21.9
Clinch,GA,6788,3411,3377,4.9,65.7,27.4,0.3,0.6,0,39.5
Cobb,GA,739072,357252,381820,12.8,53.1,26.3,0.1,5.1,0,10.9
Coffee,GA,43048,22105,20943,11.3,58.6,27.9,0.1,0.7,0,23.9
Colquitt,GA,45890,22806,23084,18.9,56.5,22.5,0.3,0.8,0,25.4
Columbia,GA,143723,70172,73551,6.2,70.1,16.3,0.2,4,0,8.6
Cook,GA,17190,8275,8915,5.8,64.9,27.2,0.3,0.6,0,24.2
Coweta,GA,138015,67326,70689,6.8,71.5,17.4,0.1,1.8,0,11.6
Crawford,GA,12385,6303,6082,0.7,73.5,23.3,0.1,1.1,0,18.1
Crisp,GA,23005,10813,12192,3.2,50.6,43.2,0,1.2,0.2,31.2
Dade,GA,16282,7956,8326,2.2,93.8,0.5,0.7,1.1,0.7,17.5
Dawson,GA,23397,11529,11868,4.2,92.8,1.2,0.1,0.3,0,11.8
Decatur,GA,27023,13037,13986,5.8,50.9,42.1,0.1,0.4,0,24.1
DeKalb,GA,736066,348949,387117,8.7,29.1,53.3,0.2,6,0,17.6
Dodge,GA,21063,11024,10039,3.4,65.3,27.8,0,0.6,0,22.2
Dooly,GA,14053,7631,6422,6.9,42.6,49.5,0,0.1,0,23.2
Dougherty,GA,91522,42377,49145,2.6,26.2,68.4,0.1,0.8,0,30.5
Douglas,GA,140152,66926,73226,9.2,43.4,44,0.1,1.6,0,14.2
Early,GA,10405,4817,5588,2.2,46.1,50.5,0.1,0.8,0,27.5
Echols,GA,4011,2012,1999,26.7,65,2.7,1.9,0,0,28.2
Effingham,GA,57087,28260,28827,3.9,79.3,13.2,0.1,1,0.1,9.6
Elbert,GA,19288,9218,10070,5.5,63.5,30.5,0,0.1,0,22.4
Emanuel,GA,22502,11183,11319,4.5,59.4,34,0,0,0,29.2
Evans,GA,10757,5093,5664,11.8,56.5,30.2,0,0.8,0,26
Fannin,GA,24480,11852,12628,2.2,95.3,0.2,0.1,0.6,0.1,15.8
Fayette,GA,110306,53551,56755,7.1,64.1,21.1,0.3,4.4,0.1,6.3
Floyd,GA,96471,46770,49701,10.6,71.4,14.4,0.1,1.5,0,18.1
Forsyth,GA,211300,104886,106414,9.5,74.9,2.9,0.2,10.5,0,6.5
Franklin,GA,22328,10852,11476,4.4,83.9,9.8,0.1,0.7,0,25.4
Fulton,GA,1010420,489797,520623,7.4,39.9,43.6,0.2,6.7,0,16
Gilmer,GA,29614,14950,14664,11.5,85.5,0.6,0.1,0.5,0,18.8
Glascock,GA,3027,1464,1563,1.6,87.4,8.8,0.8,0,0,11.5
Glynn,GA,83467,39362,44105,6.7,63.8,25.7,0.4,1.3,0,19.2
Gordon,GA,56424,27913,28511,15.4,78,3.9,0,1.1,0,18.8
Grady,GA,25048,12247,12801,11.1,58.3,28.2,0.5,0.5,0.3,25.4
Greene,GA,16732,8142,8590,6.1,56.4,35.8,0.1,1,0,21.9
Gwinnett,GA,889954,435401,454553,20.7,39.3,25.9,0.2,11.2,0,12.1
Habersham,GA,43878,20824,23054,14.2,77.3,3.1,0.1,2.3,0.2,17.2
Hall,GA,192865,96103,96762,27.8,61.6,7.3,0.2,1.7,0,16.1
Hancock,GA,8667,5258,3409,1.8,24.1,72.9,0,0.5,0.1,30
Haralson,GA,28722,13965,14757,1.5,91.2,4.3,0.2,0.8,0,18
Harris,GA,33198,16686,16512,3.3,77.1,15.9,0.1,0.9,0,7.3
Hart,GA,25535,12502,13033,3.7,75.1,19,0,0.9,0,18.8
Heard,GA,11607,5762,5845,0.7,85,10,0,0.5,0.1,17.4
Henry,GA,217506,104175,113331,6.5,46.7,40.7,0.1,3.3,0,11.4
Houston,GA,150341,73081,77260,6.6,57.5,29.7,0.3,3,0,16.7
Irwin,GA,9278,4767,4511,1.3,67.6,28,0,0.5,0,24.5
Jackson,GA,63851,31539,32312,7.1,82.4,6.7,0.1,1.7,0,12.5
Jasper,GA,13732,6688,7044,3.9,73.6,20.8,0.2,0.3,0,19.4
Jeff Davis,GA,14999,7403,7596,11.4,71.6,16.6,0,0,0,20.6
Jefferson,GA,15954,7691,8263,3.7,41.7,54,0.1,0.1,0,26.9
Jenkins,GA,8929,4273,4656,6.4,56.2,35.5,0.2,0.9,0,30.7
Johnson,GA,9800,5476,4324,2.3,62.6,33.8,0,0.2,0,21.5
Jones,GA,28540,13864,14676,1.5,71.9,24.7,0.2,0.7,0,14.2
Lamar,GA,18282,8800,9482,2.3,65,29,0.1,0.8,0,20.8
Lanier,GA,10388,5208,5180,5.5,68.7,24.1,0,0.3,0,28.7
Laurens,GA,47451,22542,24909,2.6,58.2,36.7,0.1,1.1,0,27.3
Lee,GA,29216,14524,14692,2.7,72.8,19.5,0,2.5,0.1,11.6
Liberty,GA,62120,31466,30654,12.5,40.3,40,0.4,2.1,0.5,16.6
Lincoln,GA,7768,3651,4117,1.5,65.4,32.2,0.1,0.2,0,23
Long,GA,17857,8746,9111,11.4,58.5,23.9,0.2,0.9,0.2,20
Lowndes,GA,113941,55796,58145,5.4,54.5,36.1,0.2,1.9,0,25
Lumpkin,GA,31567,15502,16065,4.7,90.8,2.1,0.7,0.4,0,20.1
Macon,GA,13675,7563,6112,4.2,32.6,59.3,0.4,1.6,0,28.6
Madison,GA,28600,14345,14255,4.9,82.9,8.6,0.3,1.4,0,17.6
Marion,GA,8558,4207,4351,1.7,59.2,35.7,0,0.7,0.5,23.1
McDuffie,GA,21488,10028,11460,2.9,54.2,40.3,0,0.5,0.8,26
McIntosh,GA,14061,6896,7165,1.5,61.7,35.1,0.1,0,0.1,20.3
Meriwether,GA,21152,10134,11018,2.1,56.3,38.4,0.2,0.6,0,22.7
Miller,GA,5884,2885,2999,0.4,68.4,30.3,0.8,0,0,23.3
Mitchell,GA,22574,11748,10826,4.4,46.3,47.5,0.1,0.3,0.1,27.1
Monroe,GA,26795,13475,13320,2.4,72.1,23.6,0.1,0.8,0,13.3
Montgomery,GA,8962,4593,4369,6.5,64.5,26,0.2,0.3,0,19.5
Morgan,GA,18013,8558,9455,3.1,71.6,23.5,0.1,0.1,0,13.4
Murray,GA,39444,19397,20047,14.3,83.3,1,0.1,0.4,0,18
Muscogee,GA,198647,97309,101338,7.5,41.1,45,0.3,2.4,0.2,21.7
Newton,GA,105042,49940,55102,5.1,48.7,42.6,0.2,1,0.1,16.7
Oconee,GA,35972,17661,18311,4.8,84.9,5.4,0.1,4.1,0,6.9
Oglethorpe,GA,14654,7362,7292,4.1,75.9,18,0.1,0.3,0,17.6
Paulding,GA,152399,74560,77839,5.8,73,17.9,0.2,0.9,0,9.7
Peach,GA,27027,12992,14035,7.5,46,44.4,0.1,1.1,0.1,18.7
Pickens,GA,30343,15046,15297,3,93.6,0.5,0,0.5,0,9.8
Pierce,GA,19141,9640,9501,5.1,84.1,8.9,0.4,0.1,0,21
Pike,GA,17919,8817,9102,1.5,86.7,10.3,0,0.2,0,12.3
Polk,GA,41444,20231,21213,13,72,12.7,0,0.7,0,19
Pulaski,GA,11396,4942,6454,3.6,60,34.7,0.2,0,0,21.8
Putnam,GA,21430,10410,11020,6.6,65.4,26.1,0,0.5,0,16.2
Quitman,GA,2140,1024,1116,0.6,41.9,50.7,0,5,0.2,22.8
Rabun,GA,16354,8126,8228,8.1,87.1,1.9,0.5,0.8,0,20.3
Randolph,GA,7206,3574,3632,1.7,36.2,59.7,0,1.4,0,35.1
Richmond,GA,201568,97435,104133,4.8,35.5,55.2,0.2,1.8,0.2,24.2
Rockdale,GA,88482,41755,46727,10.2,34.6,51,0.1,2,0.2,16.3
Schley,GA,5168,2496,2672,5,67.2,27.5,0,0,0,22.2
Screven,GA,14037,6896,7141,1.8,54.5,41.7,0.3,0.5,0,22.6
Seminole,GA,8549,4003,4546,3,61.6,33.7,0,1,0,25.5
Spalding,GA,64192,31075,33117,4.3,59.4,33.3,0.4,0.9,0,21.6
Stephens,GA,25625,11930,13695,3.2,82.8,11.7,0.3,0.4,0,18.1
Stewart,GA,5832,3618,2214,20.3,25.8,50.3,0.2,2.2,0,41.5
Sumter,GA,30687,14492,16195,5.3,39.8,52.3,0.1,1.1,0,33.4
Talbot,GA,6423,3030,3393,2.3,40.2,56.4,0.1,0.5,0,16.9
Taliaferro,GA,1844,938,906,4.2,33.7,61.6,0,0.3,0,31
Tattnall,GA,25402,14892,10510,10.8,58.4,29.2,0.2,0.2,0,23.7
Taylor,GA,8267,4047,4220,1,57.5,40.4,0,0.9,0,28.2
Telfair,GA,16339,9532,6807,11.6,49.1,38.8,0,0,0,27.7
Terrell,GA,8978,4229,4749,2.7,35.5,60.6,0,0.2,0,35.3
Thomas,GA,44909,21200,23709,3.5,57.7,35.8,0.1,0.8,0,19.5
Tift,GA,40531,19502,21029,11.4,56.3,29.3,0.1,1.2,0,27.8
Toombs,GA,27160,12706,14454,11.6,60.5,25.4,0,0.9,0,24.4
Towns,GA,11173,5272,5901,1.5,95,1,0.3,0.2,0,14.7
Treutlen,GA,6752,3394,3358,2.1,68,29.6,0,0,0,21
Troup,GA,69433,33345,36088,3.7,57.3,35.1,0,1.9,0,21.3
Turner,GA,8036,3937,4099,4.6,54.7,39.5,0.2,0.4,0,27.9
Twiggs,GA,8323,4101,4222,0.4,54.9,42.6,0,0.1,0,27.3
Union,GA,22262,10855,11407,3.1,94.2,0.8,0.4,0.7,0,12.8
Upson,GA,26241,12568,13673,2.3,67.6,28.5,0.3,0.5,0.1,22.7
Walker,GA,68609,33911,34698,2,91.4,4.3,0.1,0.6,0,17.2
Walton,GA,88695,43120,45575,4,75.9,16.5,0.2,1.2,0.1,12.8
Ware,GA,35688,17900,17788,4,63.8,29.5,0.4,1.1,0,24.8
Warren,GA,5410,2534,2876,0.6,37.2,60.6,0,1,0.3,26.8
Washington,GA,20506,10343,10163,2.3,43.2,52.9,0,0.6,0,27.1
Wayne,GA,29833,15206,14627,6.2,71.2,19.5,0.1,0.5,0,21.3
Webster,GA,2627,1329,1298,2.1,48.4,48.8,0.1,0,0,19.5
Wheeler,GA,7952,5132,2820,1.6,56.1,41.7,0.3,0,0,29.3
White,GA,28509,13814,14695,3.1,92.5,2.1,0.1,0.5,0,17.7
Whitfield,GA,103963,51566,52397,34.2,59.5,3.9,0.1,1.4,0,19.2
Wilcox,GA,8896,5248,3648,4.3,58.5,35.3,0.3,0,0,21.8
Wilkes,GA,9905,4749,5156,4.6,51.1,42.5,0,0.8,0,26.5
Wilkinson,GA,9147,4385,4762,2.7,56.8,38.2,0.1,0,0.1,23.3
Worth,GA,20809,10171,10638,2,67.4,28.2,0.5,0.3,0,21.5
Hawaii,HI,196325,97677,98648,12.5,30.3,0.6,0.2,21.5,11.4,17.4
Honolulu,HI,990060,498993,491067,9.6,18.7,2.2,0.1,41.8,8.7,9.1
Kalawao,HI,86,41,45,4.7,20.9,0,0,29.1,33.7,12.7
Kauai,HI,71093,35337,35756,10.8,29.6,0.7,0.3,32.9,8.5,9.1
Maui,HI,164094,81933,82161,11,30.5,0.5,0.1,28.5,10,10
Adair,IA,7192,3552,3640,1.7,96.6,0.3,0,0.4,0,9.5
Adams,IA,3785,1870,1915,1.2,96.8,0.4,0.1,0.6,0,11.2
Allamakee,IA,13940,7098,6842,6.1,91.2,0.9,0.1,0.3,0,11.4
Appanoose,IA,12547,6206,6341,1.8,95.7,0.6,0.1,0.5,0,17.1
Audubon,IA,5711,2814,2897,0.4,97.1,0.4,0,0.5,0,11.1
Benton,IA,25646,12786,12860,1.4,96.6,0.7,0.1,0.3,0,8.7
Black Hawk,IA,132960,65251,67709,4.2,82.2,8.8,0.2,2.1,0.2,15.9
Boone,IA,26381,13280,13101,2.5,94.6,0.4,0.1,0.4,0.7,9.4
Bremer,IA,24741,12195,12546,1.4,95.3,0.9,0.2,1.1,0,7.7
Buchanan,IA,21101,10497,10604,1.5,96.4,0.3,0.3,0.6,0,7.8
Buena Vista,IA,20369,10254,10115,25,61.4,2.6,0,8.9,1.3,13.7
Butler,IA,14822,7402,7420,1.3,96.8,0.2,0.3,0.4,0.1,9.4
Calhoun,IA,9814,5080,4734,1.8,94.8,1.8,0.3,0.3,0,15.3
Carroll,IA,20428,10052,10376,2.4,95.3,1.5,0.1,0.2,0,10.3
Cass,IA,13327,6586,6741,2.4,95.8,0.3,0.1,0.5,0.2,15.1
Cedar,IA,18368,9148,9220,1.9,95.8,0.7,0.2,0.3,0,5.4
Cerro Gordo,IA,43134,21011,22123,4.6,91.2,1.7,0.3,1.1,0,11.3
Cherokee,IA,11577,5804,5773,3.4,94,1,0.4,0.4,0,11.9
Chickasaw,IA,12140,6053,6087,2.2,96.3,0.4,0.3,0.4,0,8.9
Clarke,IA,9267,4600,4667,12.7,84.6,0.1,0,1,0,15.4
Clay,IA,16387,8091,8296,3.3,94,0.2,0,0.5,0,11.8
Clayton,IA,17711,8916,8795,1.9,96.2,1,0.1,0.4,0,10.4
Clinton,IA,47587,23289,24298,3,91.5,2.6,0.4,0.7,0,13.1
Crawford,IA,17131,8878,8253,27.4,67.5,1.2,0.6,1.9,0.1,18.5
Dallas,IA,80864,39934,40930,6.1,86.2,1.3,0.1,4.2,0.1,5.4
Davis,IA,8834,4360,4474,1.3,97,0.1,0,0.3,0,13.7
Decatur,IA,8105,4074,4031,2.7,93.2,1.7,0.3,0.6,0.2,19.1
Delaware,IA,17326,8659,8667,1.4,97,0.3,0.1,0.3,0,9.2
Des Moines,IA,39876,19534,20342,2.9,88,6,0.2,0.6,0,15.3
Dickinson,IA,17000,8547,8453,1.9,96.1,0.5,0.3,0.4,0,8.1
Dubuque,IA,96571,47757,48814,2.3,91.4,2.8,0,1.3,0.4,11.9
Emmet,IA,9661,4792,4869,9.3,88,1.6,0.4,0.2,0,13.8
Fayette,IA,20139,10162,9977,2.3,94.1,1.2,0,0.9,0,12.8
Floyd,IA,15904,7830,8074,2.5,92.8,1.9,0.4,1.5,0.1,15.6
Franklin,IA,10326,5235,5091,12.1,85.9,1.4,0,0.1,0,15.6
Fremont,IA,6985,3453,3532,2.5,95.3,0.5,0.5,0,0,11
Greene,IA,9046,4409,4637,2.7,95.1,0.1,0.1,1.3,0,10
Grundy,IA,12354,6117,6237,1.2,97.1,0.7,0,0.3,0,5.8
Guthrie,IA,10664,5321,5343,2.4,95.6,0.3,0.3,0.3,0,10.1
Hamilton,IA,15201,7433,7768,6,89.6,1.1,0,3,0,9.4
Hancock,IA,10971,5519,5452,3.9,93.8,0.6,0.3,0.1,0,9.1
Hardin,IA,17239,8634,8605,4.2,92.3,1.4,0.3,0.6,0,8
Harrison,IA,14196,7016,7180,1.6,96.5,0.2,0.3,0.3,0.1,10.4
Henry,IA,19865,10099,9766,4.7,88.6,2.1,0.4,2.5,0,12.2
Howard,IA,9321,4677,4644,1.5,96.7,0.7,0,0.2,0,11.6
Humboldt,IA,9586,4665,4921,4,94,0.2,0.3,0.3,0,13
Ida,IA,6965,3478,3487,2.1,96,0,0.7,0.4,0,10.3
Iowa,IA,16231,8009,8222,2.5,95.6,0.8,0,0.2,0,9.8
Jackson,IA,19409,9639,9770,1.4,95.7,0.6,0,0.5,0.7,12
Jasper,IA,36789,18797,17992,2,94.2,1.6,0.2,0.4,0.1,9.1
Jefferson,IA,17945,9511,8434,2.9,80.6,5.8,0,5.2,0,15.2
Johnson,IA,144425,71463,72962,5.5,79.6,6.3,0.2,6.2,0.1,17.7
Jones,IA,20468,10528,9940,1.8,94.4,2.5,0.4,0.1,0,9.1
Keokuk,IA,10223,5196,5027,1.5,96.8,0.1,0.1,0.4,0.1,11.2
Kossuth,IA,15166,7598,7568,2.2,95.5,0.8,0.1,0.6,0,10
Lee,IA,34785,17553,17232,3.5,91,2.5,0.1,0.6,0,16.3
Linn,IA,220008,108534,111474,3.1,87,4.8,0.1,2.3,0.1,9.5
Louisa,IA,11238,5743,5495,15.8,78.6,1,0.3,3.9,0,11
Lucas,IA,8600,4343,4257,0.1,99.1,0.1,0,0,0,9.9
Lyon,IA,11745,6011,5734,2.5,96.1,0.1,0.2,0.2,0.1,4.9
Madison,IA,15720,7870,7850,1.8,95.9,0.2,0,1.1,0,7.3
Mahaska,IA,22301,11293,11008,2,93.8,1.5,0.2,1.3,0.1,14.4
Marion,IA,33127,16341,16786,1.9,94.8,0.6,0.3,1.1,0,9.3
Marshall,IA,40476,20400,20076,20.7,72.5,1,0.2,3.2,0,11.2
Mills,IA,14933,7487,7446,2.8,94.6,0.8,0.5,0.2,0,9.1
Mitchell,IA,10663,5288,5375,1.3,96.8,0.1,0.3,0.6,0,8.3
Monona,IA,8865,4388,4477,0.8,95.2,0.1,2.6,0.2,0,14.9
Monroe,IA,7912,4029,3883,2.8,93.5,0.1,0,0.9,0,10.9
Montgomery,IA,10239,4931,5308,3.6,94.1,0,0.4,0,0,16.5
Muscatine,IA,42923,21256,21667,17.5,77.8,1.9,0.2,1.1,0.1,10.5
O'Brien,IA,13944,6979,6965,4.5,93.2,0.7,0.2,0.9,0,9.7
Osceola,IA,6149,3099,3050,7.4,90.4,1.3,0,0.1,0.1,11.4
Page,IA,15393,7996,7397,3.2,91.6,2,0.9,1.1,0,13.6
Palo Alto,IA,9110,4540,4570,2.4,94.3,1.9,0.2,0.5,0,7.1
Plymouth,IA,25027,12259,12768,4.5,92.8,0.4,0.3,0.6,0.1,9.1
Pocahontas,IA,6972,3440,3532,3.5,93.6,1.7,0,0.6,0,13.2
Polk,IA,467235,229864,237371,8.1,78.5,6.3,0.2,4.3,0.1,11.7
Pottawattamie,IA,93287,45896,47391,7.5,88.3,1.4,0.3,0.6,0,11.2
Poweshiek,IA,18428,8821,9607,3.1,92,1.9,0,2,0,10.7
Ringgold,IA,4986,2421,2565,2.2,96,0.1,0.3,0.9,0,10.9
Sac,IA,9936,4848,5088,2.7,95.5,0.8,0,0,0,9.4
Scott,IA,171493,84184,87309,6.4,80.7,7.9,0.3,2.5,0,12.3
Shelby,IA,11772,5784,5988,2.8,95,0.5,0.1,0.3,0,8.7
Sioux,IA,34692,17407,17285,10.2,87.5,0.4,0.2,0.7,0,7.9
Story,IA,95888,49985,45903,3.3,84.5,1.9,0.3,7.3,0,22
Tama,IA,17236,8530,8706,8.7,82.2,0.6,6.9,0.4,0,11.8
Taylor,IA,6214,3152,3062,7.5,90.7,0.3,0,0.7,0,11
Union,IA,12497,6061,6436,2.8,94.5,1.2,0.3,0.7,0.1,13.8
Van Buren,IA,7308,3728,3580,1.4,96.9,0.3,0.1,0.1,0,14
Wapello,IA,35321,17441,17880,10.5,83.8,2.9,0.1,0.9,0.2,17
Warren,IA,48630,23679,24951,2.6,94.7,0.2,0.1,0.5,0.3,6.2
Washington,IA,22095,11066,11029,5.9,91.5,0.9,0.3,0.6,0,9.1
