county,state,total population,men,women,hispanic_percentile,white_percentile,black_percentile,native_percentile,asian_percentile,pacific_percentile,poverty_percentile
Lee,AL,156597,77172,79425,3.7,67.6,22.9,0.1,3.8,0,22
Limestone,AL,91695,45889,45806,5.8,77.2,13.1,0.7,1.2,0,14.8
Lowndes,AL,10362,4896,5466,0.7,24.3,74.4,0.1,0,0,30.2
Macon,AL,19358,8933,10425,1.6,15.5,81.5,0.2,0.2,0,25.9
Madison,AL,353213,172568,180645,4.7,65.1,24,0.6,2.5,0.1,13.6
Marengo,AL,19743,9235,10508,0.4,45.1,54.1,0.1,0,0,25.6
Marion,AL,30058,14880,15178,2.5,91.9,3.2,0.4,0.3,0,17.6
Marshall,AL,94738,46771,47967,13.3,81.8,2.2,0.5,0.6,0.1,21
Mobile,AL,414328,197968,216360,2.8,57.5,35.2,0.6,1.9,0,19.3
Monroe,AL,21745,10355,11390,1.3,54.5,40.8,1.3,0.5,0,33.7
Montgomery,AL,227120,107470,119650,3.4,35.2,57.1,0.1,2.4,0,20.8
Morgan,AL,119157,58761,60396,8,76.4,12.3,0.5,0.7,0,16.6
Perry,AL,9680,4630,5050,0.7,29.4,69.6,0.1,0.2,0,41.9
Pickens,AL,20170,9601,10569,4.1,54.1,40.5,0.1,0.1,0,22.9
Pike,AL,33287,15897,17390,0.8,56.4,37.9,0.6,2.2,0,26.3
Randolph,AL,22530,10998,11532,3,75.3,19.4,0.2,0.2,0.2,18.7
Russell,AL,58480,28424,30056,5.2,47.8,42.4,0.4,0.7,0.2,20.9
Shelby,AL,208721,101420,107301,5.8,78.5,11.7,0.2,1.9,0,8.3
St. Clair,AL,86937,43469,43468,2.3,86.2,9.3,0.2,0.8,0,13.7
Sumter,AL,13084,6033,7051,0.3,24.6,70.7,0.5,3,0,36
Talladega,AL,80888,39140,41748,2.2,63.1,32.1,0.3,0.6,0,19.3
Tallapoosa,AL,40756,19616,21140,2.4,68.9,27.2,0.4,0.4,0,21.2
Tuscaloosa,AL,204424,98725,105699,3.5,62.4,31.2,0.1,1.5,0,17.3
Walker,AL,64927,31709,33218,2.4,89.4,6,0.1,0.5,0,21.5
Washington,AL,16746,8342,8404,0.5,65.1,24.6,7.5,0.9,0,22
Wilcox,AL,10919,5096,5823,0.5,26.9,72.1,0.1,0,0,31.9
Winston,AL,23968,11850,12118,3,94.1,0.5,0.3,0.3,0,18.7
Arkansas,AR,18352,8785,9567,3,70.2,26,0,0,0,20.7
Ashley,AR,20771,10126,10645,5.2,68,25.6,0.2,0,0,21.3
