Alaska,AK,District 21,0.45,0.55,7703,0.41,0.59,9104
Alaska,AK,District 22,0.56,0.44,7473,0.51,0.49,9237
Alaska,AK,District 23,0.53,0.47,6140,0.49,0.51,7465
Alaska,AK,District 24,0.57,0.43,8287,0.53,0.47,10114
Alaska,AK,District 25,0.53,0.47,7194,0.49,0.51,9007
Alaska,AK,District 26,0.57,0.43,7922,0.53,0.47,9801
Alaska,AK,District 27,0.52,0.48,7814,0.47,0.53,9168
Alaska,AK,District 28,0.53,0.47,10172,0.5,0.5,12426
Alaska,AK,District 29,0.75,0.25,8448,0.71,0.29,10449
Alaska,AK,District 3,0.81,0.19,6644,0.76,0.24,7979
Alaska,AK,District 30,0.77,0.23,8010,0.73,0.27,9818
Alaska,AK,District 31,0.62,0.38,9083,0.58,0.42,12008
Alaska,AK,District 32,0.58,0.42,6465,0.56,0.44,7946
Alaska,AK,District 33,0.31,0.69,8710,0.29,0.71,10594
Alaska,AK,District 34,0.48,0.52,8175,0.44,0.56,10306
Alaska,AK,District 35,0.52,0.48,7854,0.49,0.51,9780
Alaska,AK,District 36,0.62,0.38,7153,0.57,0.43,8910
Alaska,AK,District 37,0.44,0.56,4359,0.48,0.52,4918
Alaska,AK,District 38,0.29,0.71,3901,0.35,0.65,4939
Alaska,AK,District 39,0.31,0.69,4547,0.35,0.65,5519
Alaska,AK,District 4,0.49,0.51,8232,0.47,0.53,10035
Alaska,AK,District 40,0.37,0.63,3715,0.46,0.54,4312
Alaska,AK,District 5,0.54,0.46,6870,0.49,0.51,8281
Alaska,AK,District 6,0.66,0.34,7465,0.64,0.36,9042
Alaska,AK,District 7,0.8,0.2,7445,0.76,0.24,9242
Alaska,AK,District 8,0.83,0.17,7344,0.8,0.2,9571
Alaska,AK,District 9,0.77,0.23,7943,0.74,0.26,10556
Alaska,AK,District 99,0.13,0.87,314,0.14,0.86,432
Arizona,AZ,Apache,0.33,0.67,25323,0.33,0.67,34735
Arizona,AZ,Cochise,0.62,0.38,45542,0.6,0.4,59289
Arizona,AZ,Coconino,0.39,0.61,53512,0.38,0.62,71750
Arizona,AZ,Gila,0.67,0.33,21185,0.67,0.33,27320
Arizona,AZ,Graham,0.71,0.29,11326,0.73,0.27,14783
Arizona,AZ,Greenlee,0.63,0.37,2984,0.67,0.33,3615
Arizona,AZ,La Paz,0.72,0.28,5578,0.7,0.3,7365
Arizona,AZ,Maricopa,0.52,0.48,1450268,0.49,0.51,2036439
Arizona,AZ,Mohave,0.77,0.23,75737,0.76,0.24,103366
Arizona,AZ,Navajo,0.56,0.44,37036,0.54,0.46,51040
Arizona,AZ,Pima,0.43,0.57,392089,0.41,0.59,512739
Arizona,AZ,Pinal,0.6,0.4,120711,0.59,0.41,182183
Arizona,AZ,Santa Cruz,0.25,0.75,15587,0.32,0.68,19332
Arizona,AZ,Yavapai,0.67,0.33,106920,0.65,0.35,141129
Arizona,AZ,Yuma,0.51,0.49,49770,0.53,0.47,68744
Arkansas,AR,Arkansas,0.66,0.34,5765,0.7,0.3,6122
Arkansas,AR,Ashley,0.69,0.31,7746,0.72,0.28,7673
Arkansas,AR,Baxter,0.78,0.22,18851,0.77,0.23,20471
Arkansas,AR,Benton,0.68,0.32,88876,0.64,0.36,116214
Arkansas,AR,Boone,0.81,0.19,15161,0.82,0.18,16716
Arkansas,AR,Bradley,0.62,0.38,3481,0.66,0.34,3549
Arkansas,AR,Calhoun,0.71,0.29,2195,0.77,0.23,2115
Arkansas,AR,Carroll,0.67,0.33,10128,0.65,0.35,11447
Arkansas,AR,Chicot,0.42,0.58,4066,0.44,0.56,4012
Arkansas,AR,Clark,0.55,0.45,8024,0.57,0.43,8054
Arkansas,AR,Clay,0.76,0.24,4980,0.81,0.19,5048
Arkansas,AR,Cleburne,0.82,0.18,11559,0.84,0.16,12316
Arkansas,AR,Cleveland,0.77,0.23,3185,0.81,0.19,3518
Arkansas,AR,Columbia,0.63,0.37,8596,0.66,0.34,8314
Arkansas,AR,Conway,0.65,0.35,7505,0.69,0.31,8309
Arkansas,AR,Craighead,0.68,0.32,33430,0.68,0.32,37479
Arkansas,AR,Crawford,0.79,0.21,21174,0.79,0.21,23566
Arkansas,AR,Crittenden,0.45,0.55,15374,0.46,0.54,15847
Arkansas,AR,Cross,0.7,0.3,6583,0.74,0.26,6718
Arkansas,AR,Dallas,0.56,0.44,2674,0.62,0.38,2536
