year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,percentile
2020,INDIANA,IN,MONTGOMERY,JOSEPH R BIDEN JR,DEMOCRAT,4213,17198,0.244970345
2016,INDIANA,IN,MORGAN,DONALD TRUMP,REPUBLICAN,23674,31280,0.756841432
2016,INDIANA,IN,MORGAN,HILLARY CLINTON,DEMOCRAT,6040,31280,0.193094629
2020,INDIANA,IN,MORGAN,DONALD J TRUMP,REPUBLICAN,27512,36159,0.760861749
2020,INDIANA,IN,MORGAN,JOSEPH R BIDEN JR,DEMOCRAT,7781,36159,0.215188473
2016,INDIANA,IN,NEWTON,DONALD TRUMP,REPUBLICAN,4077,5795,0.703537532
2016,INDIANA,IN,NEWTON,HILLARY CLINTON,DEMOCRAT,1404,5795,0.242277826
2020,INDIANA,IN,NEWTON,DONALD J TRUMP,REPUBLICAN,4942,6591,0.749810347
2020,INDIANA,IN,NEWTON,JOSEPH R BIDEN JR,DEMOCRAT,1509,6591,0.228948566
2016,INDIANA,IN,NOBLE,DONALD TRUMP,REPUBLICAN,12198,16890,0.722202487
2016,INDIANA,IN,NOBLE,HILLARY CLINTON,DEMOCRAT,3904,16890,0.231142688
2020,INDIANA,IN,NOBLE,DONALD J TRUMP,REPUBLICAN,14195,19190,0.739708181
2020,INDIANA,IN,NOBLE,JOSEPH R BIDEN JR,DEMOCRAT,4660,19190,0.24283481
2016,INDIANA,IN,OHIO,DONALD TRUMP,REPUBLICAN,2118,2921,0.725094146
2016,INDIANA,IN,OHIO,HILLARY CLINTON,DEMOCRAT,686,2921,0.234851078
2020,INDIANA,IN,OHIO,DONALD J TRUMP,REPUBLICAN,2054,3075,0.66796748
2020,INDIANA,IN,OHIO,JOSEPH R BIDEN JR,DEMOCRAT,668,3075,0.217235772
2016,INDIANA,IN,ORANGE,DONALD TRUMP,REPUBLICAN,5803,8192,0.708374023
2016,INDIANA,IN,ORANGE,HILLARY CLINTON,DEMOCRAT,2048,8192,0.25
2020,INDIANA,IN,ORANGE,DONALD J TRUMP,REPUBLICAN,6432,8832,0.72826087
2020,INDIANA,IN,ORANGE,JOSEPH R BIDEN JR,DEMOCRAT,2224,8832,0.251811594
2016,INDIANA,IN,OWEN,DONALD TRUMP,REPUBLICAN,6153,8557,0.719060418
2016,INDIANA,IN,OWEN,HILLARY CLINTON,DEMOCRAT,1946,8557,0.227416151
2020,INDIANA,IN,OWEN,DONALD J TRUMP,REPUBLICAN,7286,9904,0.735662359
2020,INDIANA,IN,OWEN,JOSEPH R BIDEN JR,DEMOCRAT,2420,9904,0.244345719
2016,INDIANA,IN,PARKE,DONALD TRUMP,REPUBLICAN,4863,6582,0.738833181
2016,INDIANA,IN,PARKE,HILLARY CLINTON,DEMOCRAT,1441,6582,0.218930416
2020,INDIANA,IN,PARKE,DONALD J TRUMP,REPUBLICAN,5400,7013,0.769998574
2020,INDIANA,IN,PARKE,JOSEPH R BIDEN JR,DEMOCRAT,1503,7013,0.21431627
2016,INDIANA,IN,PERRY,DONALD TRUMP,REPUBLICAN,4556,8055,0.565611421
2016,INDIANA,IN,PERRY,HILLARY CLINTON,DEMOCRAT,3062,8055,0.380136561
2020,INDIANA,IN,PERRY,DONALD J TRUMP,REPUBLICAN,5345,8722,0.612818161
2020,INDIANA,IN,PERRY,JOSEPH R BIDEN JR,DEMOCRAT,3203,8722,0.367232286
2016,INDIANA,IN,PIKE,DONALD TRUMP,REPUBLICAN,4398,5977,0.735820646
2016,INDIANA,IN,PIKE,HILLARY CLINTON,DEMOCRAT,1297,5977,0.216998494
2020,INDIANA,IN,PIKE,DONALD J TRUMP,REPUBLICAN,4692,6220,0.754340836
2020,INDIANA,IN,PIKE,JOSEPH R BIDEN JR,DEMOCRAT,1415,6220,0.227491961
2016,INDIANA,IN,PORTER,DONALD TRUMP,REPUBLICAN,38832,77190,0.503070346
2016,INDIANA,IN,PORTER,HILLARY CLINTON,DEMOCRAT,33676,77190,0.436274129
2020,INDIANA,IN,PORTER,DONALD J TRUMP,REPUBLICAN,45008,86509,0.520269567
2020,INDIANA,IN,PORTER,JOSEPH R BIDEN JR,DEMOCRAT,39746,86509,0.459443526
2016,INDIANA,IN,POSEY,DONALD TRUMP,REPUBLICAN,8404,12467,0.674099623
2016,INDIANA,IN,POSEY,HILLARY CLINTON,DEMOCRAT,3521,12467,0.282425604
2020,INDIANA,IN,POSEY,DONALD J TRUMP,REPUBLICAN,9206,13236,0.69552735
2020,INDIANA,IN,POSEY,JOSEPH R BIDEN JR,DEMOCRAT,3811,13236,0.287926866
2016,INDIANA,IN,PULASKI,DONALD TRUMP,REPUBLICAN,3854,5459,0.705990108
2016,INDIANA,IN,PULASKI,HILLARY CLINTON,DEMOCRAT,1327,5459,0.243084814
2020,INDIANA,IN,PULASKI,DONALD J TRUMP,REPUBLICAN,4246,5806,0.731312435
2020,INDIANA,IN,PULASKI,JOSEPH R BIDEN JR,DEMOCRAT,1463,5806,0.25198071
2016,INDIANA,IN,PUTNAM,DONALD TRUMP,REPUBLICAN,10637,14715,0.722867822
2016,INDIANA,IN,PUTNAM,HILLARY CLINTON,DEMOCRAT,3356,14715,0.228066599
2020,INDIANA,IN,PUTNAM,DONALD J TRUMP,REPUBLICAN,12278,16597,0.739772248
2020,INDIANA,IN,PUTNAM,JOSEPH R BIDEN JR,DEMOCRAT,3946,16597,0.237753811
2016,INDIANA,IN,RANDOLPH,DONALD TRUMP,REPUBLICAN,7517,10458,0.718779881
2016,INDIANA,IN,RANDOLPH,HILLARY CLINTON,DEMOCRAT,2446,10458,0.233887933
2020,INDIANA,IN,RANDOLPH,DONALD J TRUMP,REPUBLICAN,8312,11070,0.750858175
2020,INDIANA,IN,RANDOLPH,JOSEPH R BIDEN JR,DEMOCRAT,2513,11070,0.227009937
2016,INDIANA,IN,RIPLEY,DONALD TRUMP,REPUBLICAN,9806,12810,0.765495706
2016,INDIANA,IN,RIPLEY,HILLARY CLINTON,DEMOCRAT,2471,12810,0.192896175
2020,INDIANA,IN,RIPLEY,DONALD J TRUMP,REPUBLICAN,11261,14271,0.789082755
2020,INDIANA,IN,RIPLEY,JOSEPH R BIDEN JR,DEMOCRAT,2774,14271,0.194380212
2016,INDIANA,IN,RUSH,DONALD TRUMP,REPUBLICAN,5292,7214,0.733573607
2016,INDIANA,IN,RUSH,HILLARY CLINTON,DEMOCRAT,1525,7214,0.211394511
2020,INDIANA,IN,RUSH,DONALD J TRUMP,REPUBLICAN,6035,7932,0.760842158
2020,INDIANA,IN,RUSH,JOSEPH R BIDEN JR,DEMOCRAT,1754,7932,0.221129602
2016,INDIANA,IN,ST. JOSEPH,DONALD TRUMP,REPUBLICAN,52021,110060,0.472660367
2016,INDIANA,IN,ST. JOSEPH,HILLARY CLINTON,DEMOCRAT,52252,110060,0.474759222
2020,INDIANA,IN,ST. JOSEPH,DONALD J TRUMP,REPUBLICAN,53164,115238,0.461340877
2020,INDIANA,IN,ST. JOSEPH,JOSEPH R BIDEN JR,DEMOCRAT,59896,115238,0.519759107
2016,INDIANA,IN,SCOTT,DONALD TRUMP,REPUBLICAN,6074,9101,0.667399187
2016,INDIANA,IN,SCOTT,HILLARY CLINTON,DEMOCRAT,2642,9101,0.290297769
2020,INDIANA,IN,SCOTT,DONALD J TRUMP,REPUBLICAN,7331,10167,0.721058326
2020,INDIANA,IN,SCOTT,JOSEPH R BIDEN JR,DEMOCRAT,2701,10167,0.265663421
2016,INDIANA,IN,SHELBY,DONALD TRUMP,REPUBLICAN,12718,17994,0.706791153
2016,INDIANA,IN,SHELBY,HILLARY CLINTON,DEMOCRAT,4247,17994,0.236023119
2020,INDIANA,IN,SHELBY,DONALD J TRUMP,REPUBLICAN,14568,19991,0.728727928
2020,INDIANA,IN,SHELBY,JOSEPH R BIDEN JR,DEMOCRAT,5023,19991,0.251263068
2016,INDIANA,IN,SPENCER,DONALD TRUMP,REPUBLICAN,6572,9979,0.658583024
2016,INDIANA,IN,SPENCER,HILLARY CLINTON,DEMOCRAT,2861,9979,0.286702074
2020,INDIANA,IN,SPENCER,DONALD J TRUMP,REPUBLICAN,7357,10769,0.683164639
2020,INDIANA,IN,SPENCER,JOSEPH R BIDEN JR,DEMOCRAT,3213,10769,0.298356393
2016,INDIANA,IN,STARKE,DONALD TRUMP,REPUBLICAN,6367,9226,0.690114893
2016,INDIANA,IN,STARKE,HILLARY CLINTON,DEMOCRAT,2489,9226,0.269781054
2020,INDIANA,IN,STARKE,DONALD J TRUMP,REPUBLICAN,7466,10290,0.725558795
2020,INDIANA,IN,STARKE,JOSEPH R BIDEN JR,DEMOCRAT,2650,10290,0.257531584
2016,INDIANA,IN,STEUBEN,DONALD TRUMP,REPUBLICAN,10133,14566,0.695661129
2016,INDIANA,IN,STEUBEN,HILLARY CLINTON,DEMOCRAT,3744,14566,0.257036935
2020,INDIANA,IN,STEUBEN,DONALD J TRUMP,REPUBLICAN,11327,16162,0.70084148
2020,INDIANA,IN,STEUBEN,JOSEPH R BIDEN JR,DEMOCRAT,4513,16162,0.279235243
2016,INDIANA,IN,SULLIVAN,DONALD TRUMP,REPUBLICAN,6138,8559,0.717139853
2016,INDIANA,IN,SULLIVAN,HILLARY CLINTON,DEMOCRAT,2113,8559,0.246874635
2020,INDIANA,IN,SULLIVAN,DONALD J TRUMP,REPUBLICAN,6691,8994,0.743940405
2020,INDIANA,IN,SULLIVAN,JOSEPH R BIDEN JR,DEMOCRAT,2153,8994,0.23938181
2016,INDIANA,IN,SWITZERLAND,DONALD TRUMP,REPUBLICAN,2558,3699,0.691538254
2016,INDIANA,IN,SWITZERLAND,HILLARY CLINTON,DEMOCRAT,930,3699,0.251419303
2020,INDIANA,IN,SWITZERLAND,DONALD J TRUMP,REPUBLICAN,3133,4154,0.754212807
2020,INDIANA,IN,SWITZERLAND,JOSEPH R BIDEN JR,DEMOCRAT,964,4154,0.232065479
2016,INDIANA,IN,TIPPECANOE,DONALD TRUMP,REPUBLICAN,30768,62515,0.492169879
2016,INDIANA,IN,TIPPECANOE,HILLARY CLINTON,DEMOCRAT,27282,62515,0.436407262
2020,INDIANA,IN,TIPPECANOE,DONALD J TRUMP,REPUBLICAN,34581,71448,0.484002351
2020,INDIANA,IN,TIPPECANOE,JOSEPH R BIDEN JR,DEMOCRAT,35017,71448,0.490104692
2016,INDIANA,IN,TIPTON,DONALD TRUMP,REPUBLICAN,5589,7510,0.744207723
2016,INDIANA,IN,TIPTON,HILLARY CLINTON,DEMOCRAT,1587,7510,0.211318242
2020,INDIANA,IN,TIPTON,DONALD J TRUMP,REPUBLICAN,6110,8116,0.752833908
2020,INDIANA,IN,TIPTON,JOSEPH R BIDEN JR,DEMOCRAT,1834,8116,0.225973386
2016,INDIANA,IN,UNION,DONALD TRUMP,REPUBLICAN,2445,3291,0.742935278
2016,INDIANA,IN,UNION,HILLARY CLINTON,DEMOCRAT,715,3291,0.217259192
2020,INDIANA,IN,UNION,DONALD J TRUMP,REPUBLICAN,2688,3483,0.771748493
2020,INDIANA,IN,UNION,JOSEPH R BIDEN JR,DEMOCRAT,736,3483,0.211312087
2016,INDIANA,IN,VANDERBURGH,DONALD TRUMP,REPUBLICAN,40496,72507,0.558511592
2016,INDIANA,IN,VANDERBURGH,HILLARY CLINTON,DEMOCRAT,28530,72507,0.39347925
2020,INDIANA,IN,VANDERBURGH,DONALD J TRUMP,REPUBLICAN,41844,77662,0.538796323
2020,INDIANA,IN,VANDERBURGH,JOSEPH R BIDEN JR,DEMOCRAT,34415,77662,0.443138214
2016,INDIANA,IN,VERMILLION,DONALD TRUMP,REPUBLICAN,4513,6939,0.650381899
2016,INDIANA,IN,VERMILLION,HILLARY CLINTON,DEMOCRAT,2081,6939,0.299899121
2020,INDIANA,IN,VERMILLION,DONALD J TRUMP,REPUBLICAN,5184,7481,0.692955487
2020,INDIANA,IN,VERMILLION,JOSEPH R BIDEN JR,DEMOCRAT,2145,7481,0.286726373
2016,INDIANA,IN,VIGO,DONALD TRUMP,REPUBLICAN,21937,39818,0.550931739
2016,INDIANA,IN,VIGO,HILLARY CLINTON,DEMOCRAT,15931,39818,0.400095434
2020,INDIANA,IN,VIGO,DONALD J TRUMP,REPUBLICAN,24545,43594,0.563036198
2020,INDIANA,IN,VIGO,JOSEPH R BIDEN JR,DEMOCRAT,18123,43594,0.415722347
2016,INDIANA,IN,WABASH,DONALD TRUMP,REPUBLICAN,9821,13468,0.729209979
2016,INDIANA,IN,WABASH,HILLARY CLINTON,DEMOCRAT,3018,13468,0.224086724
2020,INDIANA,IN,WABASH,DONALD J TRUMP,REPUBLICAN,10762,14576,0.738336992
2020,INDIANA,IN,WABASH,JOSEPH R BIDEN JR,DEMOCRAT,3494,14576,0.239709111
2016,INDIANA,IN,WARREN,DONALD TRUMP,REPUBLICAN,2898,3930,0.73740458
2016,INDIANA,IN,WARREN,HILLARY CLINTON,DEMOCRAT,839,3930,0.213486005
2020,INDIANA,IN,WARREN,DONALD J TRUMP,REPUBLICAN,3401,4472,0.760509839
2020,INDIANA,IN,WARREN,JOSEPH R BIDEN JR,DEMOCRAT,974,4472,0.217799642
2016,INDIANA,IN,WARRICK,DONALD TRUMP,REPUBLICAN,19113,29589,0.645949508
2016,INDIANA,IN,WARRICK,HILLARY CLINTON,DEMOCRAT,9086,29589,0.307073575
2020,INDIANA,IN,WARRICK,DONALD J TRUMP,REPUBLICAN,21326,33829,0.630405865
2020,INDIANA,IN,WARRICK,JOSEPH R BIDEN JR,DEMOCRAT,11923,33829,0.352449082
2016,INDIANA,IN,WASHINGTON,DONALD TRUMP,REPUBLICAN,8209,11382,0.721226498
2016,INDIANA,IN,WASHINGTON,HILLARY CLINTON,DEMOCRAT,2636,11382,0.231593745
2020,INDIANA,IN,WASHINGTON,DONALD J TRUMP,REPUBLICAN,9114,12139,0.750803196
2020,INDIANA,IN,WASHINGTON,JOSEPH R BIDEN JR,DEMOCRAT,2784,12139,0.229343439
2016,INDIANA,IN,WAYNE,DONALD TRUMP,REPUBLICAN,16028,25579,0.626607764
2016,INDIANA,IN,WAYNE,HILLARY CLINTON,DEMOCRAT,8322,25579,0.32534501
2020,INDIANA,IN,WAYNE,DONALD J TRUMP,REPUBLICAN,17567,27679,0.634668883
2020,INDIANA,IN,WAYNE,JOSEPH R BIDEN JR,DEMOCRAT,9524,27679,0.344087575
2016,INDIANA,IN,WELLS,DONALD TRUMP,REPUBLICAN,10005,13185,0.758816837
2016,INDIANA,IN,WELLS,HILLARY CLINTON,DEMOCRAT,2586,13185,0.196131968
2020,INDIANA,IN,WELLS,DONALD J TRUMP,REPUBLICAN,10855,14050,0.772597865
2020,INDIANA,IN,WELLS,JOSEPH R BIDEN JR,DEMOCRAT,2928,14050,0.208398577
2016,INDIANA,IN,WHITE,DONALD TRUMP,REPUBLICAN,6893,10053,0.68566597
2016,INDIANA,IN,WHITE,HILLARY CLINTON,DEMOCRAT,2590,10053,0.257634537
2020,INDIANA,IN,WHITE,DONALD J TRUMP,REPUBLICAN,7957,11166,0.712609708
2020,INDIANA,IN,WHITE,JOSEPH R BIDEN JR,DEMOCRAT,3032,11166,0.271538599
2016,INDIANA,IN,WHITLEY,DONALD TRUMP,REPUBLICAN,11358,15623,0.727005057
2016,INDIANA,IN,WHITLEY,HILLARY CLINTON,DEMOCRAT,3379,15623,0.216283684
2020,INDIANA,IN,WHITLEY,DONALD J TRUMP,REPUBLICAN,12862,17556,0.732627022
2020,INDIANA,IN,WHITLEY,JOSEPH R BIDEN JR,DEMOCRAT,4234,17556,0.24117111
2016,IOWA,IA,ADAIR,DONALD TRUMP,REPUBLICAN,2461,3811,0.645762267
2016,IOWA,IA,ADAIR,HILLARY CLINTON,DEMOCRAT,1133,3811,0.297297297
2020,IOWA,IA,ADAIR,DONALD J TRUMP,REPUBLICAN,1205,4177,0.288484558
2020,IOWA,IA,ADAIR,DONALD J TRUMP,REPUBLICAN,1717,4177,0.41106057
2020,IOWA,IA,ADAIR,JOSEPH R BIDEN JR,DEMOCRAT,375,4177,0.089777352
2020,IOWA,IA,ADAIR,JOSEPH R BIDEN JR,DEMOCRAT,823,4177,0.197031362
2016,IOWA,IA,ADAMS,DONALD TRUMP,REPUBLICAN,1395,2106,0.662393162
2016,IOWA,IA,ADAMS,HILLARY CLINTON,DEMOCRAT,565,2106,0.268281102
2020,IOWA,IA,ADAMS,DONALD J TRUMP,REPUBLICAN,754,2160,0.349074074
2020,IOWA,IA,ADAMS,DONALD J TRUMP,REPUBLICAN,781,2160,0.361574074
2020,IOWA,IA,ADAMS,JOSEPH R BIDEN JR,DEMOCRAT,153,2160,0.070833333
2020,IOWA,IA,ADAMS,JOSEPH R BIDEN JR,DEMOCRAT,437,2160,0.202314815
2016,IOWA,IA,ALLAMAKEE,DONALD TRUMP,REPUBLICAN,4093,6923,0.59121768
2016,IOWA,IA,ALLAMAKEE,HILLARY CLINTON,DEMOCRAT,2421,6923,0.349703886
2020,IOWA,IA,ALLAMAKEE,DONALD J TRUMP,REPUBLICAN,2045,7422,0.275532202
2020,IOWA,IA,ALLAMAKEE,DONALD J TRUMP,REPUBLICAN,2699,7422,0.363648612
2020,IOWA,IA,ALLAMAKEE,JOSEPH R BIDEN JR,DEMOCRAT,508,7422,0.068445163
2020,IOWA,IA,ALLAMAKEE,JOSEPH R BIDEN JR,DEMOCRAT,2068,7422,0.278631097
2016,IOWA,IA,APPANOOSE,DONALD TRUMP,REPUBLICAN,4033,6136,0.657268579
2016,IOWA,IA,APPANOOSE,HILLARY CLINTON,DEMOCRAT,1814,6136,0.295632334
2020,IOWA,IA,APPANOOSE,DONALD J TRUMP,REPUBLICAN,1830,6516,0.280847145
2020,IOWA,IA,APPANOOSE,DONALD J TRUMP,REPUBLICAN,2692,6516,0.413136894
2020,IOWA,IA,APPANOOSE,JOSEPH R BIDEN JR,DEMOCRAT,543,6516,0.083333333
2020,IOWA,IA,APPANOOSE,JOSEPH R BIDEN JR,DEMOCRAT,1348,6516,0.206875384
2016,IOWA,IA,AUDUBON,DONALD TRUMP,REPUBLICAN,2136,3412,0.626025791
2016,IOWA,IA,AUDUBON,HILLARY CLINTON,DEMOCRAT,1080,3412,0.316529894
2020,IOWA,IA,AUDUBON,DONALD J TRUMP,REPUBLICAN,1102,3420,0.322222222
2020,IOWA,IA,AUDUBON,DONALD J TRUMP,REPUBLICAN,1197,3420,0.35
2020,IOWA,IA,AUDUBON,JOSEPH R BIDEN JR,DEMOCRAT,263,3420,0.076900585
2020,IOWA,IA,AUDUBON,JOSEPH R BIDEN JR,DEMOCRAT,808,3420,0.23625731
2016,IOWA,IA,BENTON,DONALD TRUMP,REPUBLICAN,8232,13844,0.594625831
2016,IOWA,IA,BENTON,HILLARY CLINTON,DEMOCRAT,4678,13844,0.337908119
2020,IOWA,IA,BENTON,DONALD J TRUMP,REPUBLICAN,3127,14642,0.213563721
2020,IOWA,IA,BENTON,DONALD J TRUMP,REPUBLICAN,6081,14642,0.415312116
2020,IOWA,IA,BENTON,JOSEPH R BIDEN JR,DEMOCRAT,1942,14642,0.132632154
2020,IOWA,IA,BENTON,JOSEPH R BIDEN JR,DEMOCRAT,3218,14642,0.219778719
2016,IOWA,IA,BLACK HAWK,DONALD TRUMP,REPUBLICAN,27476,64405,0.426612841
2016,IOWA,IA,BLACK HAWK,HILLARY CLINTON,DEMOCRAT,32233,64405,0.500473566
2020,IOWA,IA,BLACK HAWK,DONALD J TRUMP,REPUBLICAN,13892,66593,0.208610515
2020,IOWA,IA,BLACK HAWK,DONALD J TRUMP,REPUBLICAN,15921,66593,0.239079182
2020,IOWA,IA,BLACK HAWK,JOSEPH R BIDEN JR,DEMOCRAT,9196,66593,0.138092592
2020,IOWA,IA,BLACK HAWK,JOSEPH R BIDEN JR,DEMOCRAT,26451,66593,0.39720391
2016,IOWA,IA,BOONE,DONALD TRUMP,REPUBLICAN,7484,14196,0.527190758
2016,IOWA,IA,BOONE,HILLARY CLINTON,DEMOCRAT,5541,14196,0.390321217
2020,IOWA,IA,BOONE,DONALD J TRUMP,REPUBLICAN,4364,15340,0.284485007
2020,IOWA,IA,BOONE,DONALD J TRUMP,REPUBLICAN,4365,15340,0.284550196
2020,IOWA,IA,BOONE,JOSEPH R BIDEN JR,DEMOCRAT,1321,15340,0.086114733
2020,IOWA,IA,BOONE,JOSEPH R BIDEN JR,DEMOCRAT,4982,15340,0.324771838
2016,IOWA,IA,BREMER,DONALD TRUMP,REPUBLICAN,7208,13538,0.532427242
2016,IOWA,IA,BREMER,HILLARY CLINTON,DEMOCRAT,5356,13538,0.395627124
2020,IOWA,IA,BREMER,DONALD J TRUMP,REPUBLICAN,3749,14546,0.257734085
2020,IOWA,IA,BREMER,DONALD J TRUMP,REPUBLICAN,4575,14546,0.314519456
2020,IOWA,IA,BREMER,JOSEPH R BIDEN JR,DEMOCRAT,1461,14546,0.100439984
2020,IOWA,IA,BREMER,JOSEPH R BIDEN JR,DEMOCRAT,4497,14546,0.309157157
2016,IOWA,IA,BUCHANAN,DONALD TRUMP,REPUBLICAN,5510,10252,0.537456106
2016,IOWA,IA,BUCHANAN,HILLARY CLINTON,DEMOCRAT,3970,10252,0.387241514
2020,IOWA,IA,BUCHANAN,DONALD J TRUMP,REPUBLICAN,2517,10774,0.233617969
2020,IOWA,IA,BUCHANAN,DONALD J TRUMP,REPUBLICAN,3913,10774,0.363189159
2020,IOWA,IA,BUCHANAN,JOSEPH R BIDEN JR,DEMOCRAT,1207,10774,0.112028959
2020,IOWA,IA,BUCHANAN,JOSEPH R BIDEN JR,DEMOCRAT,2962,10774,0.274921106
2016,IOWA,IA,BUENA VISTA,DONALD TRUMP,REPUBLICAN,4903,8278,0.592292824
2016,IOWA,IA,BUENA VISTA,HILLARY CLINTON,DEMOCRAT,2856,8278,0.345010872
2020,IOWA,IA,BUENA VISTA,DONALD J TRUMP,REPUBLICAN,2536,8167,0.310517938
2020,IOWA,IA,BUENA VISTA,DONALD J TRUMP,REPUBLICAN,2538,8167,0.310762826
2020,IOWA,IA,BUENA VISTA,JOSEPH R BIDEN JR,DEMOCRAT,829,8167,0.101506061
2020,IOWA,IA,BUENA VISTA,JOSEPH R BIDEN JR,DEMOCRAT,2132,8167,0.261050569
2016,IOWA,IA,BUTLER,DONALD TRUMP,REPUBLICAN,4921,7513,0.654998003
2016,IOWA,IA,BUTLER,HILLARY CLINTON,DEMOCRAT,2157,7513,0.287102356
2020,IOWA,IA,BUTLER,DONALD J TRUMP,REPUBLICAN,2441,8098,0.301432452
2020,IOWA,IA,BUTLER,DONALD J TRUMP,REPUBLICAN,3115,8098,0.38466288
2020,IOWA,IA,BUTLER,JOSEPH R BIDEN JR,DEMOCRAT,728,8098,0.08989874
2020,IOWA,IA,BUTLER,JOSEPH R BIDEN JR,DEMOCRAT,1696,8098,0.209434428
2016,IOWA,IA,CALHOUN,DONALD TRUMP,REPUBLICAN,3468,5159,0.672223299
2016,IOWA,IA,CALHOUN,HILLARY CLINTON,DEMOCRAT,1398,5159,0.270982749
2020,IOWA,IA,CALHOUN,DONALD J TRUMP,REPUBLICAN,1460,5258,0.277672119
2020,IOWA,IA,CALHOUN,DONALD J TRUMP,REPUBLICAN,2238,5258,0.425637124
2020,IOWA,IA,CALHOUN,JOSEPH R BIDEN JR,DEMOCRAT,448,5258,0.085203499
2020,IOWA,IA,CALHOUN,JOSEPH R BIDEN JR,DEMOCRAT,1022,5258,0.194370483
2016,IOWA,IA,CARROLL,DONALD TRUMP,REPUBLICAN,6638,10544,0.629552352
2016,IOWA,IA,CARROLL,HILLARY CLINTON,DEMOCRAT,3309,10544,0.313827769
2020,IOWA,IA,CARROLL,DONALD J TRUMP,REPUBLICAN,3671,11335,0.323864138
2020,IOWA,IA,CARROLL,DONALD J TRUMP,REPUBLICAN,4095,11335,0.361270401
2020,IOWA,IA,CARROLL,JOSEPH R BIDEN JR,DEMOCRAT,800,11335,0.070577856
2020,IOWA,IA,CARROLL,JOSEPH R BIDEN JR,DEMOCRAT,2654,11335,0.234142038
2016,IOWA,IA,CASS,DONALD TRUMP,REPUBLICAN,4761,7125,0.668210526
2016,IOWA,IA,CASS,HILLARY CLINTON,DEMOCRAT,1951,7125,0.273824561
2020,IOWA,IA,CASS,DONALD J TRUMP,REPUBLICAN,2410,7276,0.331225948
2020,IOWA,IA,CASS,DONALD J TRUMP,REPUBLICAN,2569,7276,0.353078615
2020,IOWA,IA,CASS,JOSEPH R BIDEN JR,DEMOCRAT,561,7276,0.077102804
2020,IOWA,IA,CASS,JOSEPH R BIDEN JR,DEMOCRAT,1640,7276,0.225398571
2016,IOWA,IA,CEDAR,DONALD TRUMP,REPUBLICAN,5295,9541,0.554973273
2016,IOWA,IA,CEDAR,HILLARY CLINTON,DEMOCRAT,3599,9541,0.377214128
2020,IOWA,IA,CEDAR,DONALD J TRUMP,REPUBLICAN,2738,10703,0.255816126
2020,IOWA,IA,CEDAR,DONALD J TRUMP,REPUBLICAN,3446,10703,0.321965804
2020,IOWA,IA,CEDAR,JOSEPH R BIDEN JR,DEMOCRAT,1156,10703,0.108007101
2020,IOWA,IA,CEDAR,JOSEPH R BIDEN JR,DEMOCRAT,3181,10703,0.297206391
2016,IOWA,IA,CERRO GORDO,DONALD TRUMP,REPUBLICAN,11621,22965,0.506030917
2016,IOWA,IA,CERRO GORDO,HILLARY CLINTON,DEMOCRAT,9862,22965,0.429436098
2020,IOWA,IA,CERRO GORDO,DONALD J TRUMP,REPUBLICAN,5714,23801,0.240073946
2020,IOWA,IA,CERRO GORDO,DONALD J TRUMP,REPUBLICAN,6785,23801,0.285072056
2020,IOWA,IA,CERRO GORDO,JOSEPH R BIDEN JR,DEMOCRAT,2837,23801,0.119196672
2020,IOWA,IA,CERRO GORDO,JOSEPH R BIDEN JR,DEMOCRAT,8104,23801,0.340489895
2016,IOWA,IA,CHEROKEE,DONALD TRUMP,REPUBLICAN,4192,6258,0.669862576
2016,IOWA,IA,CHEROKEE,HILLARY CLINTON,DEMOCRAT,1679,6258,0.26829658
2020,IOWA,IA,CHEROKEE,DONALD J TRUMP,REPUBLICAN,2066,6518,0.316968395
2020,IOWA,IA,CHEROKEE,DONALD J TRUMP,REPUBLICAN,2444,6518,0.374961645
2020,IOWA,IA,CHEROKEE,JOSEPH R BIDEN JR,DEMOCRAT,406,6518,0.062289046
2020,IOWA,IA,CHEROKEE,JOSEPH R BIDEN JR,DEMOCRAT,1530,6518,0.234734581
2016,IOWA,IA,CHICKASAW,DONALD TRUMP,REPUBLICAN,3742,6435,0.581507382
2016,IOWA,IA,CHICKASAW,HILLARY CLINTON,DEMOCRAT,2266,6435,0.352136752
2020,IOWA,IA,CHICKASAW,DONALD J TRUMP,REPUBLICAN,1924,6631,0.290152315
2020,IOWA,IA,CHICKASAW,DONALD J TRUMP,REPUBLICAN,2398,6631,0.361634746
2020,IOWA,IA,CHICKASAW,JOSEPH R BIDEN JR,DEMOCRAT,388,6631,0.058513045
2020,IOWA,IA,CHICKASAW,JOSEPH R BIDEN JR,DEMOCRAT,1845,6631,0.278238576
2016,IOWA,IA,CLARKE,DONALD TRUMP,REPUBLICAN,2713,4454,0.609115402
2016,IOWA,IA,CLARKE,HILLARY CLINTON,DEMOCRAT,1465,4454,0.328917827
2020,IOWA,IA,CLARKE,DONALD J TRUMP,REPUBLICAN,1416,4670,0.303211991
2020,IOWA,IA,CLARKE,DONALD J TRUMP,REPUBLICAN,1737,4670,0.371948608
2020,IOWA,IA,CLARKE,JOSEPH R BIDEN JR,DEMOCRAT,336,4670,0.071948608
2020,IOWA,IA,CLARKE,JOSEPH R BIDEN JR,DEMOCRAT,1130,4670,0.241970021
2016,IOWA,IA,CLAY,DONALD TRUMP,REPUBLICAN,5877,8617,0.682023906
