year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,percentile
2016,ALABAMA,AL,WASHINGTON,HILLARY CLINTON,DEMOCRAT,2374,8533,0.278213993
2020,ALABAMA,AL,WASHINGTON,DONALD J TRUMP,REPUBLICAN,6564,8876,0.739522307
2020,ALABAMA,AL,WASHINGTON,JOSEPH R BIDEN JR,DEMOCRAT,2258,8876,0.254393871
2016,ALABAMA,AL,WILCOX,DONALD TRUMP,REPUBLICAN,1737,6118,0.283916313
2016,ALABAMA,AL,WILCOX,HILLARY CLINTON,DEMOCRAT,4339,6118,0.709218699
2020,ALABAMA,AL,WILCOX,DONALD J TRUMP,REPUBLICAN,1833,5903,0.310520075
2020,ALABAMA,AL,WILCOX,JOSEPH R BIDEN JR,DEMOCRAT,4048,5903,0.685753007
2016,ALABAMA,AL,WINSTON,DONALD TRUMP,REPUBLICAN,9228,10313,0.89479298
2016,ALABAMA,AL,WINSTON,HILLARY CLINTON,DEMOCRAT,872,10313,0.084553476
2020,ALABAMA,AL,WINSTON,DONALD J TRUMP,REPUBLICAN,10195,11284,0.90349167
2020,ALABAMA,AL,WINSTON,JOSEPH R BIDEN JR,DEMOCRAT,974,11284,0.086316909
2016,ALASKA,AK,DISTRICT 1,DONALD TRUMP,REPUBLICAN,3180,6638,0.479059958
2016,ALASKA,AK,DISTRICT 1,HILLARY CLINTON,DEMOCRAT,2573,6638,0.387616752
2020,ALASKA,AK,DISTRICT 1,DONALD J TRUMP,REPUBLICAN,3511,7314,0.480038283
2020,ALASKA,AK,DISTRICT 1,JOSEPH R BIDEN JR,DEMOCRAT,3477,7314,0.475389664
2016,ALASKA,AK,DISTRICT 2,DONALD TRUMP,REPUBLICAN,3188,5492,0.580480699
2016,ALASKA,AK,DISTRICT 2,HILLARY CLINTON,DEMOCRAT,1585,5492,0.288601602
2020,ALASKA,AK,DISTRICT 2,DONALD J TRUMP,REPUBLICAN,3674,6136,0.598761408
